"originalID","Location","Data"
1,"Albania","contact"
2,"Algeria","contact"
3,"Andorra","contact"
4,"Antigua and Barbuda","contact"
5,"Argentina","contact"
6,"Armenia","contact"
7,"Australia","contact"
8,"Austria","contact"
9,"Azerbaijan","contact"
10,"Bahamas","contact"
11,"Bahrain","contact"
12,"Bangladesh","contact"
13,"Belarus","contact"
14,"Belgium","contact"
15,"Belize","contact"
16,"Benin","contact"
17,"Bhutan","contact"
18,"Bolivia (Plurinational State of","contact"
19,"Bosnia and Herzegovina","contact"
20,"Botswana","contact"
21,"Brazil","contact"
22,"Brunei Darussalam","contact"
23,"Bulgaria","contact"
24,"Burkina Faso","contact"
25,"Cabo Verde","contact"
26,"Cambodia","contact"
27,"Cameroon","contact"
28,"Canada","contact"
29,"Chile","contact"
30,"China","contact"
31,"Colombia","contact"
32,"Congo","contact"
33,"Costa Rica","contact"
34,"Croatia","contact"
35,"Cyprus","contact"
36,"Czech Republic","contact"
37,"Denmark","contact"
38,"Dominican Republic","contact"
39,"Ecuador","contact"
40,"Egypt","contact"
41,"El Salvador","contact"
42,"Estonia","contact"
43,"Ethiopia","contact"
44,"Fiji","contact"
45,"Finland","contact"
46,"France","contact"
47,"Georgia","contact"
48,"Germany","contact"
49,"Ghana","contact"
50,"Greece","contact"
51,"Guatemala","contact"
52,"Guinea","contact"
53,"Guyana","contact"
54,"Haiti","contact"
55,"Honduras","contact"
56,"Hong Kong SAR, China","contact"
57,"Hungary","contact"
58,"Iceland","contact"
59,"India","contact"
60,"Indonesia","contact"
61,"Iran (Islamic Republic of)","contact"
62,"Iraq","contact"
63,"Ireland","contact"
64,"Israel","contact"
65,"Italy","contact"
66,"Jamaica","contact"
67,"Japan","contact"
68,"Jordan","contact"
69,"Kazakhstan","contact"
70,"Kenya","contact"
71,"Kiribati","contact"
72,"Kuwait","contact"
73,"Kyrgyzstan","contact"
74,"Lao People's Democratic Republi","contact"
75,"Latvia","contact"
76,"Lebanon","contact"
77,"Lesotho","contact"
78,"Liberia","contact"
79,"Lithuania","contact"
80,"Luxembourg","contact"
81,"Malaysia","contact"
82,"Maldives","contact"
83,"Malta","contact"
84,"Mauritania","contact"
85,"Mauritius","contact"
86,"Mexico","contact"
87,"Monaco","contact"
88,"Mongolia","contact"
89,"Montenegro","contact"
90,"Morocco","contact"
91,"Mozambique","contact"
92,"Namibia","contact"
93,"Nepal","contact"
94,"Netherlands","contact"
95,"New Zealand","contact"
96,"Nicaragua","contact"
97,"Niger","contact"
98,"Nigeria","contact"
99,"Oman","contact"
100,"Pakistan","contact"
101,"Panama","contact"
102,"Paraguay","contact"
103,"Peru","contact"
104,"Philippines","contact"
105,"Poland","contact"
106,"Portugal","contact"
107,"Qatar","contact"
108,"Republic of Korea","contact"
109,"Romania","contact"
110,"Russian Federation","contact"
111,"Rwanda","contact"
112,"Saint Lucia","contact"
113,"Samoa","contact"
114,"Sao Tome and Principe ","contact"
115,"Saudi Arabia","contact"
116,"Senegal","contact"
117,"Serbia","contact"
118,"Seychelles","contact"
119,"Sierra Leone","contact"
120,"Singapore","contact"
121,"Slovakia","contact"
122,"Slovenia","contact"
123,"Solomon Islands","contact"
124,"South Africa","contact"
125,"Spain","contact"
126,"Sri Lanka","contact"
127,"Suriname","contact"
128,"Sweden","contact"
129,"Switzerland","contact"
130,"Syrian Arab Republic","contact"
131,"Taiwan","contact"
132,"Tajikistan","contact"
133,"TFYR of Macedonia","contact"
134,"Thailand","contact"
135,"Timor-Leste","contact"
136,"Tonga","contact"
137,"Tunisia","contact"
138,"Turkey","contact"
139,"Uganda","contact"
140,"Ukraine","contact"
141,"United Arab Emirates","contact"
142,"United Kingdom of Great Britain","contact"
143,"United Republic of Tanzania","contact"
144,"United States of America","contact"
145,"Uruguay","contact"
146,"Uzbekistan","contact"
147,"Vanuatu","contact"
148,"Venezuela (Bolivarian Republic ","contact"
149,"Viet Nam","contact"
150,"Yemen","contact"
151,"Zambia","contact"
152,"Zimbabwe","contact"
