"originalID","Location","Data"
1,"Afghanistan","demography"
2,"Albania","demography"
3,"Algeria","demography"
4,"Angola","demography"
5,"Antigua and Barbuda","demography"
6,"Argentina","demography"
7,"Armenia","demography"
8,"Aruba","demography"
9,"Australia","demography"
10,"Austria","demography"
11,"Azerbaijan","demography"
12,"Bahamas","demography"
13,"Bahrain","demography"
14,"Bangladesh","demography"
15,"Barbados","demography"
16,"Belarus","demography"
17,"Belgium","demography"
18,"Belize","demography"
19,"Benin","demography"
20,"Bhutan","demography"
21,"Bolivia (Plurinational State of)","demography"
22,"Bosnia and Herzegovina","demography"
23,"Botswana","demography"
24,"Brazil","demography"
25,"Brunei Darussalam","demography"
26,"Bulgaria","demography"
27,"Burkina Faso","demography"
28,"Burundi","demography"
29,"Cabo Verde","demography"
30,"Cambodia","demography"
31,"Cameroon","demography"
32,"Canada","demography"
33,"Central African Republic","demography"
34,"Chad","demography"
35,"Channel Islands","demography"
36,"Chile","demography"
37,"China","demography"
38,"China, Hong Kong SAR","demography"
39,"China, Macao SAR","demography"
40,"China, Taiwan Province of China","demography"
41,"Colombia","demography"
42,"Comoros","demography"
43,"Congo","demography"
44,"Costa Rica","demography"
45,"Côte d'Ivoire","demography"
46,"Croatia","demography"
47,"Cuba","demography"
48,"Curaçao","demography"
49,"Cyprus","demography"
50,"Czechia","demography"
51,"Democratic Republic of the Congo","demography"
52,"Dem. People's Republic of Korea","demography"
53,"Denmark","demography"
54,"Djibouti","demography"
55,"Dominican Republic","demography"
56,"Ecuador","demography"
57,"Egypt","demography"
58,"El Salvador","demography"
59,"Equatorial Guinea","demography"
60,"Eritrea","demography"
61,"Estonia","demography"
62,"Ethiopia","demography"
63,"Fiji","demography"
64,"Finland","demography"
65,"France","demography"
66,"French Guiana","demography"
67,"French Polynesia","demography"
68,"Gabon","demography"
69,"Gambia","demography"
70,"Georgia","demography"
71,"Germany","demography"
72,"Ghana","demography"
73,"Greece","demography"
74,"Grenada","demography"
75,"Guadeloupe","demography"
76,"Guam","demography"
77,"Guatemala","demography"
78,"Guinea","demography"
79,"Guinea-Bissau","demography"
80,"Guyana","demography"
81,"Haiti","demography"
82,"Honduras","demography"
83,"Hungary","demography"
84,"Iceland","demography"
85,"India","demography"
86,"Indonesia","demography"
87,"Iran (Islamic Republic of)","demography"
88,"Iraq","demography"
89,"Ireland","demography"
90,"Israel","demography"
91,"Italy","demography"
92,"Jamaica","demography"
93,"Japan","demography"
94,"Jordan","demography"
95,"Kazakhstan","demography"
96,"Kenya","demography"
97,"Kiribati","demography"
98,"Kuwait","demography"
99,"Kyrgyzstan","demography"
100,"Lao People's Democratic Republic","demography"
101,"Latvia","demography"
102,"Lebanon","demography"
103,"Lesotho","demography"
104,"Liberia","demography"
105,"Libya","demography"
106,"Lithuania","demography"
107,"Luxembourg","demography"
108,"Madagascar","demography"
109,"Malawi","demography"
110,"Malaysia","demography"
111,"Maldives","demography"
112,"Mali","demography"
113,"Malta","demography"
114,"Martinique","demography"
115,"Mauritania","demography"
116,"Mauritius","demography"
117,"Mayotte","demography"
118,"Mexico","demography"
119,"Micronesia (Fed. States of)","demography"
120,"Mongolia","demography"
121,"Montenegro","demography"
122,"Morocco","demography"
123,"Mozambique","demography"
124,"Myanmar","demography"
125,"Namibia","demography"
126,"Nepal","demography"
127,"Netherlands","demography"
128,"New Caledonia","demography"
129,"New Zealand","demography"
130,"Nicaragua","demography"
131,"Niger","demography"
132,"Nigeria","demography"
133,"Norway","demography"
134,"Oman","demography"
135,"Pakistan","demography"
136,"Panama","demography"
137,"Papua New Guinea","demography"
138,"Paraguay","demography"
139,"Peru","demography"
140,"Philippines","demography"
141,"Poland","demography"
142,"Portugal","demography"
143,"Puerto Rico","demography"
144,"Qatar","demography"
145,"Republic of Korea","demography"
146,"Republic of Moldova","demography"
147,"Réunion","demography"
148,"Romania","demography"
149,"Russian Federation","demography"
150,"Rwanda","demography"
151,"Saint Lucia","demography"
152,"Saint Vincent and the Grenadines","demography"
153,"Samoa","demography"
154,"Sao Tome and Principe","demography"
155,"Saudi Arabia","demography"
156,"Senegal","demography"
157,"Serbia","demography"
158,"Seychelles","demography"
159,"Sierra Leone","demography"
160,"Singapore","demography"
161,"Slovakia","demography"
162,"Slovenia","demography"
163,"Solomon Islands","demography"
164,"Somalia","demography"
165,"South Africa","demography"
166,"South Sudan","demography"
167,"Spain","demography"
168,"Sri Lanka","demography"
169,"State of Palestine","demography"
170,"Sudan","demography"
171,"Suriname","demography"
172,"Swaziland","demography"
173,"Sweden","demography"
174,"Switzerland","demography"
175,"Syrian Arab Republic","demography"
176,"Tajikistan","demography"
177,"TFYR Macedonia","demography"
178,"Thailand","demography"
179,"Timor-Leste","demography"
180,"Togo","demography"
181,"Tonga","demography"
182,"Trinidad and Tobago","demography"
183,"Tunisia","demography"
184,"Turkey","demography"
185,"Turkmenistan","demography"
186,"Uganda","demography"
187,"Ukraine","demography"
188,"United Arab Emirates","demography"
189,"United Kingdom","demography"
190,"United Republic of Tanzania","demography"
191,"United States of America","demography"
192,"United States Virgin Islands","demography"
193,"Uruguay","demography"
194,"Uzbekistan","demography"
195,"Vanuatu","demography"
196,"Venezuela (Bolivarian Republic of)","demography"
197,"Viet Nam","demography"
198,"Western Sahara","demography"
199,"Yemen","demography"
200,"Zambia","demography"
201,"Zimbabwe","demography"
