"country","dose_per_1000"
"Albania",0
"Algeria",0
"Argentina",0
"Armenia",0
"Australia",0
"Austria",0
"Azerbaijan",0
"Bahamas",0
"Bangladesh",1000
"Belarus",0
"Belgium",0
"Benin",0
"Bolivia",0
"Botswana",0
"Brazil",1000
"Bulgaria",0
"Burkina_Faso",0
"Cambodia",0
"Cameroon",0
"Canada",0
"Cape_Verde",0
"Chile",0
"China",1000
"Colombia",0
"Costa_Rica",0
"Croatia",0
"Denmark",0
"Dominican_Republic",0
"Ecuador",0
"Egypt",1000
"Estonia",0
"Ethiopia",1000
"Fiji",0
"Finland",0
"France",0
"Georgia",0
"Germany",1000
"Ghana",0
"Greece",0
"Guatemala",0
"Guinea",0
"Guyana",0
"Haiti",0
"Honduras",0
"Hungary",0
"Iceland",0
"India",1000
"Indonesia",1000
"Iran",1000
"Iraq",0
"Ireland",0
"Israel",0
"Italy",0
"Jamaica",0
"Japan",1000
"Jordan",0
"Kazakhstan",0
"Kenya",0
"Kyrgyzstan",0
"Latvia",0
"Lebanon",0
"Lesotho",0
"Liberia",0
"Lithuania",0
"Malaysia",0
"Maldives",0
"Malta",0
"Mauritania",0
"Mexico",1000
"Mongolia",0
"Montenegro",0
"Morocco",0
"Mozambique",0
"Namibia",0
"Nepal",0
"Netherlands",0
"New_Zealand",0
"Nicaragua",0
"Niger",0
"Nigeria",1000
"Oman",0
"Pakistan",1000
"Panama",0
"Paraguay",0
"Peru",0
"Philippines",1000
"Poland",0
"Portugal",0
"Qatar",0
"Republic_of_Congo",0
"Republic_of_Korea",0
"Romania",0
"Russia",1000
"Rwanda",0
"Sao_Tome_and_Principe",0
"Saudi_Arabia",0
"Senegal",0
"Serbia",0
"Sierra_Leone",0
"Singapore",0
"Slovakia",0
"Slovenia",0
"Solomon_Islands",0
"South_Africa",0
"Spain",0
"Sri_Lanka",0
"Suriname",0
"Sweden",0
"Switzerland",0
"Syrian_Arab_Republic",0
"Tajikistan",0
"Tanzania",0
"Thailand",1000
"Tunisia",0
"Turkey",1000
"Uganda",0
"Ukraine",0
"United_Arab_Emirates",0
"United_Kingdom",1000
"Uruguay",0
"USA",1000
"Uzbekistan",0
"Venezuela",0
"Vietnam",1000
"Yemen",0
"Zambia",0
"Zimbabwe",0
