"country","dose_per_1000"
"Albania",4.37770797744413e-06
"Algeria",0.000814563973856651
"Argentina",0.000965892481938464
"Armenia",4.35975430676995e-06
"Australia",0.000290230514174855
"Austria",3.859477681603e-05
"Azerbaijan",4.7388001028882e-05
"Bahamas",7.67381079681058e-08
"Bangladesh",0.0133144925903323
"Belarus",4.61057825589487e-05
"Belgium",6.52864657028759e-05
"Benin",5.73102154859309e-05
"Bolivia",5.89364209572665e-05
"Botswana",2.50023360927772e-06
"Brazil",0.0217351858443738
"Bulgaria",2.6392166938196e-05
"Burkina_Faso",0.000168063737831828
"Cambodia",0.000123384513261961
"Cameroon",0.000267172152252065
"Canada",0.000662196599985644
"Cape_Verde",1.45560512219159e-07
"Chile",0.000161667152396483
"China",1
"Colombia",0.00119180628532745
"Costa_Rica",1.18445366231731e-05
"Croatia",9.19392718783506e-06
"Denmark",1.65829207276247e-05
"Dominican_Republic",5.6791182244961e-05
"Ecuador",0.000133540025524367
"Egypt",0.00450599898705967
"Estonia",8.86014160147613e-07
"Ethiopia",0.00511075836419828
"Fiji",4.07679492674285e-07
"Finland",1.53981029706047e-05
"France",0.00212877290546224
"Georgia",8.00245109889696e-06
"Germany",0.00342072622813269
"Ghana",0.000389827215662655
"Greece",6.44792576020332e-05
"Guatemala",0.00013533271183822
"Guinea",7.49178721974952e-05
"Guyana",3.02999447590136e-07
"Haiti",5.87826547362618e-05
"Honduras",4.11435832000292e-05
"Hungary",4.90480838060862e-05
"Iceland",5.57977949891281e-08
"India",0.878019742555976
"Indonesia",0.0341486697822992
"Iran",0.00322695177686282
"Iraq",0.000668326136866745
"Ireland",1.13183956961418e-05
"Israel",3.33271288501076e-05
"Italy",0.00181418461297925
"Jamaica",4.22627768065752e-06
"Japan",0.00839149680521181
"Jordan",4.29818669185802e-05
"Kazakhstan",0.000161430604074951
"Kenya",0.00114323466601481
"Kyrgyzstan",1.76248402804399e-05
"Latvia",2.03518435067742e-06
"Lebanon",1.75407982462314e-05
"Lesotho",2.42386082571574e-06
"Liberia",1.03756230351684e-05
"Lithuania",4.40470765427565e-06
"Malaysia",0.000483633525825716
"Maldives",8.95244621825566e-08
"Malta",9.38591669172492e-08
"Mauritania",8.96101520194159e-06
"Mexico",0.00812042059089291
"Mongolia",4.54095111319745e-06
"Montenegro",2.0207307235071e-07
"Morocco",0.00062061536019658
"Mozambique",0.000402018819694425
"Namibia",3.0155792769645e-06
"Nepal",0.000420746288963283
"Netherlands",0.000146998672972864
"New_Zealand",1.09127088354667e-05
"Nicaragua",1.89531757047881e-05
"Niger",0.000202845023315914
"Nigeria",0.0168197391350785
"Oman",9.03832051063562e-06
"Pakistan",0.0183764648421406
"Panama",8.07144617401038e-06
"Paraguay",2.25836687147199e-05
"Peru",0.00050444287538505
"Philippines",0.00530112083051746
"Poland",0.000750226831547613
"Portugal",5.56106361703728e-05
"Qatar",3.15640491844449e-06
"Republic_of_Congo",1.27889242947048e-05
"Republic_of_Korea",0.00131155706121182
"Romania",0.000202437438100506
"Russia",0.0106081172006146
"Rwanda",6.93024497434802e-05
"Sao_Tome_and_Principe",1.96834535564954e-08
"Saudi_Arabia",0.000510247137252564
"Senegal",0.000114931431690036
"Serbia",4.01396737814976e-05
"Sierra_Leone",2.68352905839114e-05
"Singapore",1.56972800899063e-05
"Slovakia",1.51574894543487e-05
"Slovenia",2.20610083608875e-06
"Solomon_Islands",1.76549039684195e-07
"South_Africa",0.0015663833082901
"Spain",0.00110303089855128
"Sri_Lanka",0.000219845257238154
"Suriname",1.56689328630214e-07
"Sweden",4.88477651106872e-05
"Switzerland",3.54679273081306e-05
"Syrian_Arab_Republic",0.000179844247894287
"Tajikistan",3.74472380321048e-05
"Tanzania",0.00148745669654257
"Thailand",0.00241530207111318
"Tunisia",6.51246223795736e-05
"Turkey",0.0031389971546435
"Uganda",0.000825756653380335
"Ukraine",0.00102185128610204
"United_Arab_Emirates",4.29349511692856e-05
"United_Kingdom",0.00219131498864211
"Uruguay",6.03508950602409e-06
"USA",0.0524440682861258
"Uzbekistan",0.000491631643757008
"Venezuela",0.000497330012272013
"Vietnam",0.00448622427925811
"Yemen",0.000371201905034391
"Zambia",0.000132829597648561
"Zimbabwe",0.00012753753187072
