"Albania","Algeria","Argentina","Armenia","Australia","Austria","Azerbaijan","Bahamas","Bangladesh","Belarus","Belgium","Benin","Bolivia","Bosnia_Herzegovina","Botswana","Brazil","Bulgaria","Burkina_Faso","Cambodia","Cameroon","Canada","Cape_Verde","Chile","China","Colombia","Costa_Rica","Denmark","Dominican_Republic","Ecuador","Egypt","Estonia","Ethiopia","Fiji","Finland","France","Georgia","Germany","Ghana","Greece","Guatemala","Guinea","Guyana","Haiti","Honduras","Hong_Kong","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kyrgyzstan","Latvia","Lebanon","Lesotho","Liberia","Lithuania","Macedonia","Malaysia","Maldives","Malta","Mauritania","Mexico","Mongolia","Montenegro","Morocco","Mozambique","Namibia","Nepal","Netherlands","New_Zealand","Nicaragua","Niger","Nigeria","Oman","Pakistan","Panama","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Republic_of_Congo","Republic_of_Korea","Romania","Russia","Rwanda","Sao_Tome_and_Principe","Saudi_Arabia","Senegal","Serbia","Sierra_Leone","Singapore","Slovakia","Slovenia","Solomon_Islands","South_Africa","Spain","Sri_Lanka","Suriname","Sweden","Switzerland","Syrian_Arab_Republic","Taiwan","Tajikistan","Tanzania","Thailand","Tunisia","Turkey","Uganda","Ukraine","United_Arab_Emirates","United_Kingdom","Uruguay","USA","Uzbekistan","Venezuela","Vietnam","Yemen","Zambia","Zimbabwe"
0,816.7802133743,117.049416251,2000.6293318,1.069118677,52657.23604721,719.741393017,1.3351134205,398.7968738875,807.3126919104,3622.61515633,3109.648966,428.28276193,359.2474251703,1.1321180327,4992.4252405363,2583.4307854431,3109.648966,2956.5109738,1455.476483077,748.4193626031,1103.6252326,10.611027058,5530.711381022,183.0737686562,73.622158246,679.605413134,1676.3837563822,88.851166531,7441.8942475135,482.7685588351,1130.974212436,0,410.978683594,4223.1340623446,751.1846921889,71609.7624100417,621.3559909119,39525.917871482,175.40735958,16.825681935,1.1374811941,942.38672091,247.9880115111,393.68082172,44838.397062,308.07169078,26077.5984946713,773.2857448401,4721.0749848082,2120.0377831675,866.65776781,2653.2527475,373237.259199762,476.85723972,408.6161904595,1576.73505107,1117.8880961809,1703.7127003688,4658.714002267,1099.3701994,1452.8313952,1.0949327007,23.845055835,1064.13339421,0,760.0288696672,211.34310927,1603.0608788,8.1248641297,356.4166708969,375.54431281,0,7081.0115731364,767.4049737228,18.192734111,162.9138289085,1008.0629570992,1.4730837575,3.5725213637,14.861730346,3819.2296695246,0,1959.2047598394,8.2360038642,2.6639967501,5.260045556,38.3832667748,4172.4197614533,1103.6050683472,507.43308431,3123.242536512,275.658179942,3755.0620163029,6766.5460992325,13.59035642,0,935.8222299036,504.7340462414,750.8010619135,10.111125588,1694.1071179,483.285862147,23388,0,358.9448778062,24405.3489219919,181.52223959,1.0127654689,1352.815287067,10273.285925291,2356.3181108767,155.3206462348,660.51262835,4760.349947624,1828.427843001,5.1466146418,86850.962574166,0,8525.1332513973,9387.04086485,89908.579259295,24.590598497,1125.0677606502,1565.0095313617,85.4812450175,335.6511196143,326.0331280109,2389.0423885193,1796.6744295
850.8000180406,0,1097.6652692946,3283.0607834456,210.1841388524,5838.9938463243,1761.5876886951,35.3568085014,2686.9931973566,571.872901386,13406.4600114569,2416.167184748,2532.9237263382,815.0772101717,6.5207102916,8361.4723977647,3822.4548122688,15871.8246132213,3462.5146299989,3441.8844203142,28815.7931074215,10421.9665626202,1340.5034769543,104030.854357673,5508.7003950258,370.0422332761,2035.4751501697,2962.8212968615,3062.2549790747,75766.3698813402,495.0963233334,4490.9076132899,0,581.9861006739,567775.852847462,1065.6503047477,74873.6401371233,2256.5051499893,4670.5745326812,2267.1784773538,1635.6437574197,6.4088638656,8734.7643279237,404.9453638555,1499.5215140737,1450.783468369,980.9527854224,41718.689214526,3388.0554234304,12121.5154474331,2207.5416480101,3915.5543578603,7051.2805751035,125587.64336204,83.8220726623,1866.8089580527,9736.4838926913,2441.1718204447,9080.4698151811,1642.2642862832,3126.186801374,12535.3724470653,6.4001169857,1683.5453035017,1432.5247045085,264.249181505,3167.9938706368,541.1852683584,2732.4111385366,6443.2293466069,2411.1193155044,4257.7322438032,2551.8970356436,101560.17273762,585.9168671754,38.4611628034,417.1444571844,3362.7630678599,38.3078861524,18.0702614774,13510.3481608608,7414.4232949989,35.8443314531,12046.6173527529,55.3385814748,18.9706647338,160.7423495205,2353.5839293061,6193.5110039588,4617.8179458199,41659.8478990716,15033.22925155,1434.5101230775,8050.7658812669,21420.0747499401,386.439923716,10.4015534955,62588.4055642916,15436.5362107354,1777.2877490762,834.1706354824,9781.018604329,878.0659579038,526.6051224322,0,3986.9295611548,163023.582889415,696.19596144,7.1763941685,2842.0036156002,15816.5247110311,30366.8072812358,1470.8231972444,817.0241229326,1483.8016133802,5761.0356812536,713.9798703789,80104.9714071016,15.9674136668,10803.5818517054,41618.6136980927,104577.792244618,721.8780039419,7135.7004992755,2916.100554841,812.6579169109,3305.4366164594,1975.7815881162,3132.1166250126,921.0652091942
113.317808618,1052.7768303551,0,715.4978154999,55422.8727677947,638.7851413486,177.8492883283,98.235975069,50.6782174483,166.3954552537,368.9527824732,4202.6648333582,139188.374962617,246.87974962,14.253735535,424117.581380099,487.6319081893,4214.7603484544,2245.3499617,4235.6782716164,2341.7195449403,3217.5163861171,137242.541141857,4231.5049221952,94773.7499633619,5893.1782392824,152.5940390724,3591.1114480763,6552.085519021,1947.3116938951,90.12045059,648.0985873671,1.2939514463,171.8077750665,28794.5657736369,129.2935495767,15908.1557926231,564.5333118877,590.8925102129,3235.2874354737,85.410879107,12.4606691309,6314.6493965643,3284.9587011217,368.4849967482,162.6752830181,214.9296567053,10257.1103324199,783.1029690013,336.776472845,981.24297662,524.469483562,782.9731093274,27340.601736434,2009.746389473,431.6759073885,363.0361609834,240.558324593,6062.1281336879,620.2806906745,306.2972513474,257.235480083,8.1091567528,14.1798120613,217.933364851,0,758.1075475941,69.121770772,332.136161639,34.343100583,98720.4796230951,796.76035373,1139.7740103964,6756.8232061699,1707.3079506284,17.6174057841,7.7262470688,1012.4150795716,13777.0212740951,400.92166919,41.530396578,5211.9359429814,0,1443.6952105848,70491.6396714021,25595.7863772637,104898.418024201,231.8853509412,742.6745331168,1340.2202928836,258.4151298523,4307.5339437725,322.1349283795,786.6506454284,1307.745543979,55.4749417399,1.1596771808,704.3448536962,781.5979564657,170.629655057,8.9985532741,1728.535141532,53.1704942474,66.0750646209,0,59610.8241370976,75092.9962397682,48.7491021596,1.9599150027,307.5677154787,527.7387361297,524.6998687831,223.1304653369,292.019225417,5016.005274486,1102.3477985059,0,971.6472327115,1.0605494642,2932.8413225228,659.6650715773,2692.1604701431,139220.573116833,259503.600172094,292.857986613,26039.0382610206,383.0075472102,640.58799249,9599.4606993856,9859.0644398678
2000.6293318,3345.2787944153,775.072218599,0,476.7688768479,36562.9994073573,129.525531012,32.597790553,4511.576035862,2932.237293759,1631.1778824454,2716.0440022,1490.53656135,2072.9711184344,19.475865846,6029.6700871896,7672.8584346116,1838.25427113,4165.6435593597,3725.7296034608,3696.5652147348,563.5044940301,548.0172903784,36379.5163274537,1977.4489463778,585.3746064154,2256.5763380017,734.9316097661,595.07265299,5295.6594955909,609.074045195,1406.2601636272,0,1343.801027312,53677.6070003304,147.407329908,34050.0025440589,3553.8182102453,17090.3006577116,1205.1450238,924.883314464,14.732854411,388.97343019,1245.086651883,4461.3610971055,3755.1373184875,501.7157737,141011.127827457,8143.0981739386,25255.5770841065,1329.6145430853,2192.3890386397,5286.407895305,31387.7313869554,360.51995307,4064.0634541415,1597.3310099751,12525.590709335,10170.4680644885,8315.4626031998,8393.318482377,600,18.935045955,460.63145511,1751.7989351056,1248.305671,9515.9131435914,1226.6772726,2107.5218644896,403.37319427,2532.4161674446,4846.191209976,1386.5555480428,11901.937899285,945.356602213,18.12897782,3043.310591177,14901.482284819,40.1824076839,49.855675316,547.09218184,7720.9079871779,117.28130857,8560.065118777,257.68442225,52.601142273,493.8328338189,4824.295002432,5609.8473726878,3581.3824444096,3084.447744236,2310.23231645,3823.7584797057,10543.516342057,381854.693495438,222.38626394,13.5847195,1556.0811178674,2112.000439636,886.27729037,465.87408096,10204.71476633,835.33991016,852.93090945,0,5445.8888834939,16345.424132963,585.48580542,87.251383643,3009.1118138108,19896.7016395372,2532.7974738402,2063.9290278167,251.1595556318,2867.3453498862,14483.0703887349,50.79854226,17505.7750442709,128.779887821,14671.793638344,23330.1845896092,63952.3871021437,161.67199002,5682.060290499,6654.0055134521,514.0522873089,5295.7201868513,899.42457721,1775.2283155144,1641.171418869
1.2526674895,186.3849433413,47020.4418644172,466.5894921067,0,640.6842867303,141.4770584622,0,886.9847758098,46.6812009948,50.1565955905,1129.914614728,745.4004339115,33.5260714664,19.051622533,1080.8704850008,58.7024609975,3513.03701335,104914.600382185,564.592117273,17104.6152667348,383.382406419,524.6683607694,560444.084152397,253.1442330331,170.5567882887,179.937472216,74.9456872533,44.6243524136,11692.094765754,0,567.865946019,192.1518711762,312.317064173,1349.8039209039,94.3807669259,2005.4582892304,194.9130849645,227.6837523656,2779.6246802939,1.5891039378,0,1258.918315008,137.365941386,414577.906151139,89.3754809806,4.2448882827,104610.294455439,453037.447580438,11709.263328412,2758.1304544446,61.4946723472,635.5922746129,1583.3480157189,22.8326071401,244403.196907196,294.8572420586,1014.006610373,6989.0317977254,11218.2877491876,102.184701778,285.743699649,9.0550488543,0,12.6817444569,0,385706.738629332,244.5698027567,6.7730968002,1.0043555528,1446.2145107959,17209.8855400382,74.5685770056,454.2279550499,18536.0408616097,10.5138605692,1028.4649216467,905.3589414215,455316.015782375,1.3033390893,1.153926753,11966.629888994,12.7870908463,20627.2477587411,98.150491563,17.761539012,173.627993706,86911.6954205947,12.3706659908,34.0008453139,15280.3622569739,14422.2994695038,200661.122854472,127.895315294,3466.1112093255,44.3628161157,0,2082.6817100905,70.2648592406,2.6121161211,1.1866431653,831596.92988616,0,0,571.0302492252,117314.772627919,427.5063271805,291.2166775723,0,255.4230571737,698.3610276101,310.4154159457,166709.232090089,3202.297113546,5371.8745828448,404932.242034197,0,976.5802970801,0,5621.5039434689,182046.378209399,2073.0419513204,239.3196161206,320781.149198747,693.9606232629,19.109456283,90921.2461872379,14131.9722382684,19991.4471249475,64034.8003399196
47531.185988652,5303.2078841014,552.781816371,36199.3051885998,573.1424848471,0,35568.266697936,73.083643734,454.190633193,48893.6898282346,133143.957768997,14504.3723943796,1533.03276412,61542.8462327333,5.6412382041,5881.1330054107,130557.994935294,22623.3698130802,17234.6376015316,16082.0902871871,77735.1687337277,6080.159880526,390.1582965888,131520.142289818,1903.8143683859,1165.0033581398,111684.383290419,4488.9303115036,1486.41835617,145634.984516303,1396.7652593979,2276.7296360404,0,103384.933646658,345023.608907346,26200.8599984994,1636076.88700052,1556.375615177,183520.070830891,1331.978103675,180.6460725627,42.600574942,6361.4110489799,1352.4942704101,2875.324558076,73556.168375341,5741.738143638,142549.471044394,3962.0618823083,46106.8786999711,15181.2967418758,70604.644973656,142617.238874178,547370.417086173,1697.064234415,91689.3010967753,66615.3827919806,32559.0813956416,20905.4365086767,12272.5685224351,39372.90637725,5014.72439836,7.5354920984,245.3201672563,30069.272933433,16726.444834404,3742.7352842325,7170.709349062,40505.33576537,472.5893591947,3506.0646339672,8965.3760707556,36818.105908439,15688.0832400713,1651.2753113556,85.7550809329,450.9575394502,251117.506470884,102.2444507891,34.5716887411,226.4209883105,23521.8716877403,20.603927352,8514.4487387317,209.0089736852,21.2419292811,317.7937308433,1517.3177089462,168910.164704494,4577.2705020718,53435.267148875,27185.9430865705,16699.8784126388,223331.002485441,420256.87844757,216.0032351813,15.928920176,3523.2195122673,1256.5204887065,71032.3505578006,107.1870300597,7925.87371605,12347.234608766,28418.115667569,0,2142.6060850133,590972.128450178,336.8406784039,27.3076214998,161812.479800571,270363.93858686,68671.3588716708,44226.5440159967,14255.0866635545,3563.051559319,170573.574443772,152.3459520819,331074.12661914,25.8056700829,315236.479279859,178412.428614404,729939.971398409,319.1319994377,218923.754557187,2776.5903078602,350.2754429423,2661.2185177149,3175.0232993481,8921.2429722945,10407.0724840483
658.5482409138,1576.5012880155,191.820399905,132.680237341,146.5004948855,35702.8773359733,0,13.385403323,1141.4992109171,2814.2747647293,683.7884636564,2716.0440022,596.46271474,953.9060379014,3.2356879764,3602.3898187788,4374.8430563764,1712.512185789,3451.9157816346,3405.0019776549,921.6243090593,314.7409085601,138.4686236365,40728.5019704416,493.9223387749,98.0348634553,444.7158288986,1567.6401286084,129.340584439,6207.4879517725,205.405183992,1690.8177151487,0,403.6307282475,6436.9768617347,18769.393590458,26241.1010674985,738.5929894368,2107.1120704805,271.7762181,329.331399314,2.39597247,4424.1150140318,419.5455220276,1096.126771146,624.6428655978,204.26547511,44032.4374979165,1885.2399939012,25558.2287528104,2621.0869151383,538.952838047,1523.717707872,8245.914895542,81.169882287,1109.5605061963,1582.285481985,25292.8044285255,3741.5798245918,2134.3566918558,6476.134733227,1857.6798220843,3.3997377391,122.389223554,878.822762492,233.96849173,1684.4304230191,416.2246051513,1171.669630835,144.36810363,608.8232780065,3607.2960548882,181.665521395,3905.9059907992,1183.649005611,32.796438492,367.7267363812,758.2522532002,3.0269075389,8.5256232618,194.25774859,3918.0786306611,40.688191678,6426.2844372656,9.3660385742,9.0902401714,5.6023967053,586.9657358086,1793.9077575734,706.5466587314,816.899118379,1956.60656075,1119.254841846,2660.793297948,205177.881287335,34.862102914,2.1446763608,1774.0613190308,565.3191693132,1265.2624725812,167.3253654,3908.1651895,350.748274979,236.53143429,0,2097.7119797548,3533.8342403095,296.2939168,2.0740806818,733.7331087294,823.1928053909,2414.4443713078,583.9403279459,6494.800165154,1077.2246663115,1762.0803147379,7.924106923,98324.7443440055,17.0804682007,47824.7558177794,65549.1152497159,79175.0315199399,36.559406155,1734.6174142693,15102.1181150951,120.9913598447,2140.4684842342,2708.260863001,2986.938841423,293.7028511502
9.3086287252,41.754358499,122.448425078,31.475402702,0,120.3034643165,23.051576279,0,0,10.187435022,39.6911922909,225.56081836,3235.7137790545,64.061929118,0,2800.7549948504,55.281285386,700.59527188,355.23772552,118.70642834,20315.5006115075,483.55108543,147.95645584,943.9318686918,3067.142604437,576.99594546,29.75927139,248.796433325,1291.542665129,168.9081048506,6.1510638589,31.506483813,0,21.508183143,290.6429521368,8.9479291525,5627.429744954,42.71841577,82.6447278873,1783.9665146,0,6.1844026605,10206.858651812,1772.184877226,98.579167651,20.663366907,48.690257024,3371.8197448854,112.5369987538,59.0083840907,277.88889952,160.824197499,71.162115309,307.4465838417,23660,161.7248518395,46.383045463,45.759457368,1067.946010944,92.700684819,25.46443664,35.707512946,0,0,16.744337379,0,92.6646066123,4.995974141,29.227099657,0,1536.5678272102,147.20166745,77.992176597,232.9532727808,534.26342214,1.9995511613,1.2544549411,105.35424168,0,89.251585754,0,3047.3281182711,0,346.696158313,122.14387992,0,202.8820684446,2.5186837489,141.5812302281,64.878493518,28.382279987,1828.9757773,86.755346689,37.2248845432,173.5326278102,0,0,104.075991787,14.876201312,28.420727343,5.7392169342,120.9895768,1.2228143011,3.8278605865,0,69.345935652,312.1025653595,6.6855136958,3.1448740152,41.501305376,83.670565181,32.2624367687,47.073093942,450.3085127884,180.5199430519,94.113885902,0,189.4145322622,0,370.71075915,94.732524508,29248.6912962013,129.82344503,255474.052588327,21.787674367,229.0323337618,36.642825545,178.97948376,1946.6921448,1595.7037346
374.1944891527,2448.1782426916,5.7666065067,3547.184305513,1249.2545601457,624.615145134,1237.276333655,0,0,658.4615703085,64.3331740393,305.8666381051,40.4902922294,42.3032477173,0,729.4259011704,293.1996122711,458.4688817106,21389.1511033105,364.7329227771,193.3912012963,539.09991626,7.2779544171,156245.587504592,38.1516902535,39.2524199955,93.675566099,126.3137788639,33.0592787533,20782.1528593785,13.1011192574,4846.2849246649,1.6227058839,69.7611037378,995.4158104131,705.6524252478,1666.2085379501,768.9267168776,557.0689976084,73.3184858995,7.8659027909,0,969.890526223,129.6751216864,43358.593419725,94.661778734,11.0719578461,379492.808820999,38553.8245237189,20396.1705577858,4445.2639256556,205.4763751814,877.5273537903,1189.6322844964,23.745154586,2332.3322917677,3232.6640359696,3780.6485230605,4066.7956286286,9242.4387352203,439.1500102682,3287.738551485,1.0721515023,8.9803573712,50.73104199,2.196858466,67612.3400994253,657.5807177567,170.1223887622,2.7568648724,78.2450252028,841.276171907,110.283927114,3102.2860124716,1244.9881806492,0,41401.087175043,245.6352850403,147.3041421806,1.0300711166,49.4558577783,10388.2754857508,29.949145811,54040.6055100726,5.4526850384,0,3.9128068786,12723.2626660048,87.5503041381,28.9183770391,14765.204374875,1769.8300887106,1212.6610808723,653.6154625946,4960.8479331083,7.3491047613,0,108742.061144543,167.4062691793,153.2738281368,5.5793362226,87623.29723622,11.1968430055,7.9210836487,0,2208.2159045625,223.3240777438,1784.75167517,0,106.1003548505,225.025964425,5545.6999908441,1587.5399017212,2287.1838376878,1430.5764686249,101666.479772688,21.642950894,2631.3526477626,0,6814.5368212801,201761.263354294,2219.2738898163,7.7686318523,787.184496614,2552.5848531228,3.5848724241,3628.8358504184,6078.6006530636,1617.1869525783,6435.719889605
690.999312414,575.5032720153,170.2479814128,2922.075323713,41.8969891635,47614.7215286925,2800.292752392,1.3588554624,614.8157336395,0,750.6119365409,2716.0440022,542.17643977,765.6180340471,1.9765666562,2681.9277434693,4545.3726333026,1706.872444208,4160.7733506,3392.6840901,769.7532922805,385.46218506,85.0182972958,8210.1562380127,421.2708230748,85.174403824,397.8833283166,240.1013594663,120.172531173,3900.9878139315,5114.683914307,1515.7176547534,0,338.6047523247,5624.8443969009,12294.8652414104,35985.9448443077,563.4478950852,1470.2637690982,255.83229229,230.9413019046,1.9709367712,390.6990010943,374.1335814317,513.28148663,490.9523316963,172.28394218,28738.3211564097,1733.8306048359,2952.0853070687,1651.300568608,563.6863510077,3269.1610837158,13382.008596164,735.66006295,624.3153340171,1078.7347539606,5727.718213612,2127.3710964663,4025.1875237566,20393.603700746,601.3756876045,2.0752885914,79.05076287,130.90788493,274.14827638,1212.4738551574,179.07567548,1091.3138389,105.24350153,538.9076889049,2640.3497878112,149.54596145,4904.3546612515,675.816210865,19.761515346,156.9275896197,2143.4035572197,1.514757952,6.5418843801,131.94888358,2654.0849286827,1.2358279563,5098.3752239292,46.543091738,6.7025107751,74.3013247598,472.9895847346,28837.991950143,536.4450485786,546.8489517586,1880.45386536,457.9403536804,2247.1254091695,114598.324348809,22.436570626,1.5614719685,1602.569589533,471.1056441037,813.1307212435,17.477716441,1836.287620379,234.378049571,259.19632315,0,408.9112117634,2940.5828533748,157.08266332,22.893586999,860.3382356398,706.4324567228,176.9726506471,223.9685135836,4797.543511914,654.915885479,2730.8101444343,5.4833510302,42261.1880829532,9.9567740975,16322.9234045248,17808.7042062838,9434.1036126336,32.177855263,1477.9573266361,970.0190327862,111.984548268,929.8531650649,656.5537679275,1564.6683957911,831.6153470555
