"Destination","Origin","Volume","logVolume"
"Afghanistan","Afghanistan",640781.632790869,13.3704440113899
"Afghanistan","Albania",1994.9565340402,7.59837754163809
"Afghanistan","Algeria",5355.5430761918,8.5858873925281
"Afghanistan","Angola",16134.5827021221,9.68872024125245
"Afghanistan","Argentina",4595.6684787,8.43286950379517
"Afghanistan","Armenia",4713.777076888,8.45824479279113
"Afghanistan","Aruba",332.27836971,5.80597308058469
"Afghanistan","Australia",22926.2574549521,10.0400381464362
"Afghanistan","Austria",16596.4589374118,9.71694463456594
"Afghanistan","Azerbaijan",11970.474085067,9.3901984038719
"Afghanistan","Bahamas",1981.4839892,7.59160133245654
"Afghanistan","Bangladesh",8332.0337123365,9.02786284850044
"Afghanistan","Belarus",2061.2188143651,7.63105274428215
"Afghanistan","Belgium",4216.7494001882,8.34681982589307
"Afghanistan","Benin",58.454598523,4.06825035929731
"Afghanistan","Bolivia",3.597425694,1.28021850466683
"Afghanistan","Bosnia and Herzegovina",99.1413242298,4.59654634967288
"Afghanistan","Botswana",8.0979913238,2.09161604620905
"Afghanistan","Brazil",19195.7163824824,9.86244242804519
"Afghanistan","Bulgaria",16233.4104412681,9.69482677036674
"Afghanistan","Burkina Faso",99.166254341,4.59679777840305
"Afghanistan","Burma",1380.5083137245,7.23020705360814
"Afghanistan","Burundi",33.681968873,3.51696264588998
"Afghanistan","Cambodia",71.8437017515,4.27449295038776
"Afghanistan","Cameroon",112.063957884,4.71906976084236
"Afghanistan","Canada",25570.5046870837,10.1491948055595
"Afghanistan","Cape Verde",30.2796354838,3.41047539031317
"Afghanistan","Central African Republic",39.92414138,3.6869811880464
"Afghanistan","Chad",40.829812028,3.70941250154915
"Afghanistan","Chile",1290.5114818,7.16279391629073
"Afghanistan","China",122056.553233157,11.7122397674002
"Afghanistan","Colombia",1029.0661220566,6.93640699232796
"Afghanistan","Comoros",0,0
"Afghanistan","Congo (Brazzaville)",112.553036303,4.72342454435892
"Afghanistan","Congo (Kinshasa)",1500.710004217,7.31369361124675
"Afghanistan","Cook Islands",0,0
"Afghanistan","Costa Rica",2248.3082616204,7.71793332866786
"Afghanistan","Cote d'Ivoire",2621.7269735745,7.87158852983033
"Afghanistan","Croatia",9949.3385970864,9.2052613552886
"Afghanistan","Cuba",2255.2102647515,7.72099849138209
"Afghanistan","Czech Republic",772.0703488507,6.64907567132738
"Afghanistan","Denmark",6666.2654953798,8.80481508636436
"Afghanistan","Djibouti",2510.50408936,7.82823884437604
"Afghanistan","Dominican Republic",2137.5752519959,7.66742740580333
"Afghanistan","East Timor",8.2623821652,2.11171294367823
"Afghanistan","Ecuador",1.1280984663,0.12053344208522
"Afghanistan","Egypt",11105.4482921392,9.31519110400894
"Afghanistan","Equatorial Guinea",27.163495939,3.30187401086527
"Afghanistan","Eritrea",717.6820515068,6.57602664577275
"Afghanistan","Estonia",2002.1213824117,7.60196258861248
"Afghanistan","Ethiopia",4333.864090985,8.37421482281019
"Afghanistan","Fiji",0,0
"Afghanistan","Finland",3893.9627261404,8.26718261376009
"Afghanistan","France",26861.2493347174,10.1984399818294
"Afghanistan","French Polynesia",0,0
"Afghanistan","Gabon",3.8507313422,1.34826308927275
"Afghanistan","Georgia",501.9559253325,6.21851231769482
"Afghanistan","Germany",127080.850408387,11.7525787802747
"Afghanistan","Ghana",16144.0008450586,9.68930379493845
"Afghanistan","Greece",9551.4396735295,9.16444717326788
"Afghanistan","Guadeloupe",2.3117588989,0.838008662889636
"Afghanistan","Guam",787.90095497,6.66937239029558
"Afghanistan","Guatemala",4.0886242406,1.40820854197769
"Afghanistan","Guinea",109.92651592,4.6998121054653
"Afghanistan","Guyana",6.4364186429,1.86197227407806
"Afghanistan","Haiti",57.4593223228,4.05107725958671
"Afghanistan","Honduras",22.2211912657,3.10104639509213
"Afghanistan","Hong Kong",11493.0330057408,9.34949630517711
"Afghanistan","Hungary",9022.0794567819,9.10743012493265
"Afghanistan","Iceland",2135.3133870406,7.6663687003899
"Afghanistan","India",463223.096164046,13.0459640661827
"Afghanistan","Indonesia",5502.500606416,8.61295792360797
"Afghanistan","Iran",41167.8169991602,10.6254120892911
"Afghanistan","Iraq",2281.7669016251,7.73270537867758
"Afghanistan","Ireland",10195.928356528,9.22974373884598
"Afghanistan","Israel",11837.68903076,9.37904370617444
"Afghanistan","Italy",64075.0728709389,11.0678106885073
"Afghanistan","Jamaica",3.9235086233,1.36698631044203
"Afghanistan","Japan",11772.0894633378,9.3734867089964
"Afghanistan","Jordan",4030.634299294,8.30167903692129
"Afghanistan","Kazakhstan",13712.3136240046,9.52604951280504
"Afghanistan","Kenya",4258.2830718985,8.35662132325747
"Afghanistan","Kyrgyzstan",1487.540504046,7.30487936665982
"Afghanistan","Laos",64.1420472484,4.1611001121903
"Afghanistan","Latvia",491.862233347,6.19819866375884
"Afghanistan","Lebanon",7083.1666692525,8.86547635636093
"Afghanistan","Lesotho",8.7000062158,2.16332374012005
"Afghanistan","Liberia",60.816215246,4.1078564515395
"Afghanistan","Libya",3351.9934651868,8.11731051207346
"Afghanistan","Lithuania",3019.4246494402,8.01282157878853
"Afghanistan","Macau",410.07105801,6.01633045690104
"Afghanistan","Macedonia",470.32921644,6.15343291000678
"Afghanistan","Madagascar",174.120917966,5.15974998870098
"Afghanistan","Malawi",101.384015691,4.61891544254776
"Afghanistan","Malaysia",993.3680699449,6.9011012599631
"Afghanistan","Maldives",3800.1565871983,8.24279755202293
"Afghanistan","Mali",240.342720345,5.48206590615505
"Afghanistan","Malta",5022.054150149,8.52159432224582
"Afghanistan","Mauritania",70.684453879,4.25822566016621
"Afghanistan","Mexico",9150.4425585044,9.12155752414958
"Afghanistan","Moldova",271.397366321,5.60358404330431
"Afghanistan","Mongolia",109.9713525194,4.70021990023239
"Afghanistan","Montenegro",57.0904484506,4.04463682509683
"Afghanistan","Morocco",18695.9508784244,9.83606224883101
"Afghanistan","Mozambique",176.967423122,5.17596566547633
"Afghanistan","Namibia",116.79617987,4.76043036326679
"Afghanistan","Nepal",18072.7570405226,9.8021609475163
"Afghanistan","Netherlands",2676.3851768592,7.89222234843091
"Afghanistan","New Zealand",490.4040601509,6.19522966385139
"Afghanistan","Nicaragua",15.381812181,2.73318578424956
"Afghanistan","Niger",77.311880144,4.34784763258136
"Afghanistan","Nigeria",5418.8825631096,8.59764490400994
"Afghanistan","North Korea",66.90019566,4.20320189179358
"Afghanistan","Norway",7414.81135416,8.91123481313714
"Afghanistan","Oman",174.1845610526,5.16011543277891
"Afghanistan","Pakistan",51571.2203351121,10.8507190504282
"Afghanistan","Panama",488.37435683,6.19108223641506
"Afghanistan","Papua New Guinea",1983.5030218297,7.59261976343681
"Afghanistan","Paraguay",17.9256194979,2.88623094644078
"Afghanistan","Peru",717.11506215,6.57523630492119
"Afghanistan","Philippines",11557.3499127115,9.35507686964018
"Afghanistan","Poland",20408.2336286398,9.92369370765105
"Afghanistan","Portugal",13517.7257164185,9.51175711920578
"Afghanistan","Puerto Rico",619.4072579642,6.42876298520406
"Afghanistan","Qatar",12414.403762896,9.426612671247
"Afghanistan","Reunion",2.2077460909,0.791972126739004
"Afghanistan","Romania",19576.4811583834,9.88208418381429
"Afghanistan","Russia",50213.8341936196,10.8240458492604
"Afghanistan","Rwanda",46.186430273,3.83268603790976
"Afghanistan","Sao Tome and Principe",12.279767113,2.50795295779975
"Afghanistan","Saudi Arabia",56099.295699897,10.9348785370629
"Afghanistan","Senegal",1584.1528278137,7.36780504992588
"Afghanistan","Serbia",5443.716599453,8.60221730500504
"Afghanistan","Sierra Leone",78.37499152,4.36150489075531
"Afghanistan","Singapore",12510.851503693,9.43435166698735
"Afghanistan","Slovakia",2046.9116915967,7.62408744432852
"Afghanistan","Slovenia",4295.1359419185,8.36523848512084
"Afghanistan","Solomon Islands",0,0
"Afghanistan","Somalia",1218.887369858,7.10569372968998
"Afghanistan","South Africa",19692.9817623083,9.88801759553154
"Afghanistan","South Korea",2155.4946155282,7.67577549616885
"Afghanistan","Spain",31075.1169747877,10.344162680645
"Afghanistan","Sri Lanka",3890.9433453853,8.26640691245329
"Afghanistan","Sudan",5147.5498788979,8.54627612878174
"Afghanistan","Suriname",7.3748853527,1.99808035670844
"Afghanistan","Swaziland",4.1103091497,1.41349824458445
"Afghanistan","Sweden",11194.3303072966,9.32316270654648
"Afghanistan","Switzerland",6366.2650049548,8.75876823514947
"Afghanistan","Syria",5084.6672716254,8.53398487303314
"Afghanistan","Taiwan",4249.21272307,8.35448900312852
"Afghanistan","Tajikistan",11116.201947543,9.31615895798264
"Afghanistan","Tanzania",2584.9467154958,7.85746017376907
"Afghanistan","Thailand",2760.5845275966,7.92319772164893
"Afghanistan","Togo",111.398446037,4.71311337799733
"Afghanistan","Tunisia",325.450361656,5.78520995126682
"Afghanistan","Turkey",47908.6394135093,10.7770511306743
"Afghanistan","Turkmenistan",111.9587765548,4.718130737067
"Afghanistan","Uganda",0,0
"Afghanistan","Ukraine",2248.3974852273,7.71797301265518
"Afghanistan","United Arab Emirates",416031.478459249,12.9385162057538
"Afghanistan","United Kingdom",50448.9172968584,10.8287165646369
"Afghanistan","United States",55099.7875879708,10.9169011401058
"Afghanistan","Uruguay",1.506333256,0.40967839042224
"Afghanistan","Uzbekistan",2372.8937499376,7.77186548086007
"Afghanistan","Venezuela",4408.3821411097,8.3912630397044
"Afghanistan","Vietnam",4258.4380659778,8.35665772085152
"Afghanistan","Western Sahara",13.381946784,2.59390654366762
"Afghanistan","Yemen",1107.999070597,7.01031102849551
"Afghanistan","Zambia",166.745052515,5.11646601428061
"Afghanistan","Zimbabwe",175.958763426,5.17024966887001
"Albania","Afghanistan",2014.4287001219,7.60809091066769
"Albania","Albania",0,0
"Albania","Algeria",850.8000180406,6.74617710453036
"Albania","Angola",128.4094410367,4.855223916876
"Albania","Argentina",113.317808618,4.73019633677675
"Albania","Armenia",2000.6293318,7.60121707594515
"Albania","Aruba",12.283180982,2.50823092679669
"Albania","Australia",1.2526674895,0.225275269188302
"Albania","Austria",47531.185988652,10.7691413217195
"Albania","Azerbaijan",658.5482409138,6.49003777729093
"Albania","Bahamas",9.3086287252,2.23094178991435
"Albania","Bangladesh",374.1944891527,5.92477568672112
"Albania","Belarus",690.999312414,6.53813882870784
"Albania","Belgium",3617.18204162,8.19345056013543
"Albania","Benin",2421.9039191,7.7923092532601
"Albania","Bolivia",106.24994985,4.66579433580441
"Albania","Bosnia and Herzegovina",260.6928231651,5.56334279146616
"Albania","Botswana",0,0
"Albania","Brazil",4445.8279886548,8.39972140476419
"Albania","Bulgaria",2108.9895530982,7.65396422698059
"Albania","Burkina Faso",104.58163828,4.64996799396526
"Albania","Burma",8.5476996808,2.14566220356877
"Albania","Burundi",5.6237157966,1.72699261919876
"Albania","Cambodia",1976.19564702,7.58892888505628
"Albania","Cameroon",1454.9365876591,7.28271759629097
"Albania","Canada",659.2838758811,6.49115420939838
"Albania","Cape Verde",977.81659747,6.88532212429993
"Albania","Central African Republic",4.4599511752,1.49513781870748
"Albania","Chad",3.4664972447,1.2431446445638
"Albania","Chile",12.956470888,2.56159534581688
"Albania","China",4816.9187985491,8.47988974922202
"Albania","Colombia",195.173839904,5.27389064811268
"Albania","Comoros",0,0
"Albania","Congo (Brazzaville)",26.542634287,3.27875228121275
"Albania","Congo (Kinshasa)",1047.6092100466,6.95426590416288
"Albania","Cook Islands",0,0
"Albania","Costa Rica",93.112231035,4.53380555089573
"Albania","Cote d'Ivoire",140.08206054,4.9422283976067
"Albania","Croatia",916.17728475,6.82020988825073
"Albania","Cuba",96.490548953,4.56944506523779
"Albania","Czech Republic",1363.390351987,7.21772978246753
"Albania","Denmark",668.391931932,6.50487472593025
"Albania","Djibouti",997.01331544,6.90476412537917
"Albania","Dominican Republic",2462.1711056694,7.80879880297668
"Albania","East Timor",0,0
"Albania","Ecuador",59.637246619,4.08828032214739
"Albania","Egypt",7240.149798473,8.88739717556254
"Albania","Equatorial Guinea",3.2633538135,1.18275544369731
"Albania","Eritrea",60.289674605,4.09916085532304
"Albania","Estonia",395.7258347814,5.98072163506835
"Albania","Ethiopia",1380.4264229127,7.23014773253058
"Albania","Fiji",0,0
"Albania","Finland",378.8109529791,5.93703727583344
"Albania","France",3838.4249859689,8.25281740153926
"Albania","French Polynesia",0,0
"Albania","Gabon",3.257792631,1.18104985898289
"Albania","Georgia",681.9008406355,6.52488425230998
"Albania","Germany",66631.4267257267,11.1069316179902
"Albania","Ghana",657.3757428634,6.48825576195397
"Albania","Greece",36579.5955135883,10.5072458643
"Albania","Guadeloupe",9.7280863927,2.27501720601291
"Albania","Guam",7.5620270966,2.02313928872072
"Albania","Guatemala",113.72922872,4.73382043649746
"Albania","Guinea",19.182783989,2.95401320954761
"Albania","Guyana",1.1059069722,0.100665787627635
"Albania","Haiti",1002.147485179,6.90990046161071
"Albania","Honduras",211.4642423231,5.35405591716263
"Albania","Hong Kong",372.25764658,5.91958621287094
"Albania","Hungary",40935.063173,10.6197422650609
"Albania","Iceland",260.5719066,5.56287885611675
"Albania","India",25535.5420380187,10.1478265661139
"Albania","Indonesia",496.7231687704,6.20803286642589
"Albania","Iran",3660.4150905336,8.20533183267877
"Albania","Iraq",1780.0871423104,7.48441759844196
"Albania","Ireland",654.84967285,6.48440570219523
"Albania","Israel",2755.0181648,7.92117931495911
"Albania","Italy",364511.633906372,12.8063137473601
"Albania","Jamaica",415.59758511,6.02971744859703
"Albania","Japan",357.887078262,5.88021751279497
"Albania","Jordan",1764.53208513,7.4756408266451
"Albania","Kazakhstan",1030.4345354231,6.93773587130929
"Albania","Kenya",3226.3905045141,8.07911930049572
"Albania","Kyrgyzstan",4659.289629503,8.44661827547871
"Albania","Laos",862.71376206,6.7600829582678
"Albania","Latvia",908.11763065,6.81137391938453
"Albania","Lebanon",1499.1913862,7.31268116587
"Albania","Lesotho",1.1123873172,0.106508442018179
"Albania","Liberia",22.419888762,3.10994845607952
"Albania","Libya",1048.1892556624,6.95481943604116
"Albania","Lithuania",956.06364721,6.86282448741478
"Albania","Macau",1.2767417621,0.24431133428278
"Albania","Macedonia",0,0
"Albania","Madagascar",31.074843494,3.43639860098828
"Albania","Malawi",14.1502113624,2.64972956124977
"Albania","Malaysia",630.4404680276,6.44641873068953
"Albania","Maldives",229.24908723,5.43480912958012
"Albania","Mali",997.01331544,6.90476412537917
"Albania","Malta",1257.4772002,7.13686277075585
"Albania","Mauritania",9.2478649111,2.22439270445958
"Albania","Mexico",336.3859204852,5.81825907373064
"Albania","Moldova",2000.6293318,7.60121707594515
"Albania","Mongolia",1418.7042924,7.25749926390017
"Albania","Montenegro",0,0
"Albania","Morocco",6978.5002574967,8.85058930984727
"Albania","Mozambique",308.6329697661,5.73215277079438
"Albania","Namibia",17.871846533,2.88322665528237
"Albania","Nepal",166.0825575024,5.11248499907861
"Albania","Netherlands",929.0790684116,6.83419384650704
"Albania","New Zealand",1.6112997236,0.477041135058862
"Albania","Nicaragua",3.6069296204,1.28285688978205
"Albania","Niger",13.608483251,2.61069336673521
"Albania","Nigeria",3738.4570649927,8.22642825581944
"Albania","North Korea",2.6198655095,0.963122984203552
"Albania","Norway",200.032377319,5.29847924004082
"Albania","Oman",0,0
"Albania","Pakistan",2689.5757351898,7.8971387408966
"Albania","Panama",10.249094535,2.3271893636336
"Albania","Papua New Guinea",12.778088422,2.54773186201847
"Albania","Paraguay",2.8001156635,1.02966072472085
"Albania","Peru",5.9647748139,1.7858713036051
"Albania","Philippines",47.1509975438,3.85335516567009
"Albania","Poland",3778.4347622935,8.23706511880782
"Albania","Portugal",1064.9598144593,6.97069234452956
"Albania","Puerto Rico",7.5121024148,2.0165153753061
"Albania","Qatar",489.85559635,6.19411064634517
"Albania","Reunion",18.81763754,2.93479459705355
"Albania","Romania",3631.7631469885,8.19747352476117
"Albania","Russia",6118.7947055437,8.71912041257183
"Albania","Rwanda",7.5329477201,2.01928642870266
"Albania","Sao Tome and Principe",1.0211668413,0.0209459355289944
"Albania","Saudi Arabia",817.9408247451,6.70678999259857
"Albania","Senegal",570.1519542971,6.34590291178687
"Albania","Serbia",662.1255894932,6.4954552501693
"Albania","Sierra Leone",11.050767263,2.40249986111884
"Albania","Singapore",1922.0102128,7.56112690314775
"Albania","Slovakia",386.345864554,5.95673299043723
"Albania","Slovenia",23388,10.0599783492956
"Albania","Solomon Islands",0,0
"Albania","Somalia",30.1070729227,3.40476012497176
"Albania","South Africa",351.0208696771,5.86084567946784
"Albania","South Korea",246.0459671154,5.50551837666923
"Albania","Spain",22895.6000622655,10.0387000340627
"Albania","Sri Lanka",140.48374139,4.94509176243364
"Albania","Sudan",275.4250140648,5.61831541029193
"Albania","Suriname",1.1414613343,0.132309313702675
"Albania","Swaziland",0,0
"Albania","Sweden",1239.844863782,7.12274154091897
"Albania","Switzerland",10256.645573092,9.23568112307375
"Albania","Syria",3324.5721874449,8.10909627938174
"Albania","Taiwan",124.1830552847,4.82175672931181
"Albania","Tajikistan",1245.91623232,7.12762646780972
"Albania","Tanzania",90.594752605,4.5063962931045
"Albania","Thailand",1799.8295032315,7.49544721897105
"Albania","Togo",169.81787199,5.13472652151873
"Albania","Tunisia",4.7741488172,1.56321569986481
"Albania","Turkey",83311.487569194,11.3303417246395
"Albania","Turkmenistan",311.15466753,5.7402901118026
"Albania","Uganda",0,0
"Albania","Ukraine",8235.4589819071,9.01620437656642
"Albania","United Arab Emirates",9137.2803922894,9.12011807009364
"Albania","United Kingdom",89052.8870577247,11.3969857088293
"Albania","United States",967.6125859837,6.87483178607552
"Albania","Uruguay",23.315719651,3.14912779622184
"Albania","Uzbekistan",1717.4338629699,7.44858651562284
"Albania","Venezuela",92.0053849957,4.52184710789803
"Albania","Vietnam",371.7320237601,5.91817322844843
"Albania","Western Sahara",3.7973831791,1.33431219243397
"Albania","Yemen",326.4194148336,5.78818310304157
"Albania","Zambia",1007.0733209983,6.91480370138701
"Albania","Zimbabwe",1797.7260222342,7.49427782424059
"Algeria","Afghanistan",5906.2961189797,8.68377419971607
"Algeria","Albania",816.7802133743,6.7053700419908
"Algeria","Algeria",211366.506197,12.2613489018193
"Algeria","Angola",1883.7379271964,7.54101334099988
"Algeria","Argentina",1052.7768303551,6.95918655268745
"Algeria","Armenia",3345.2787944153,8.11530531570064
"Algeria","Aruba",62.747009345,4.13911091703549
"Algeria","Australia",186.3849433413,5.22781412292294
"Algeria","Austria",5303.2078841014,8.57606717759477
"Algeria","Azerbaijan",1576.5012880155,7.3629632959943
"Algeria","Bahamas",41.754358499,3.73180384103369
"Algeria","Bangladesh",2448.1782426916,7.80309945253861
"Algeria","Belarus",575.5032720153,6.35524491366324
"Algeria","Belgium",12974.5433481273,9.4707445126654
"Algeria","Benin",1856.650868982,7.52652953558973
"Algeria","Bolivia",1911.7112326871,7.55575405327599
"Algeria","Bosnia and Herzegovina",639.0882463911,6.46004254561105
