ID,contact,demography
1,Albania,Afghanistan
2,Algeria,Albania
3,Andorra,Algeria
4,Antigua and Barbuda,Angola
5,Argentina,Antigua and Barbuda
6,Armenia,Argentina
7,Australia,Armenia
8,Austria,Aruba
9,Azerbaijan,Australia
10,Bahamas,Austria
11,Bahrain,Azerbaijan
12,Bangladesh,Bahamas
13,Belarus,Bahrain
14,Belgium,Bangladesh
15,Belize,Barbados
16,Benin,Belarus
17,Bhutan,Belgium
18,Bolivia (Plurinational State of,Belize
19,Bosnia and Herzegovina,Benin
20,Botswana,Bhutan
21,Brazil,Bolivia (Plurinational State of)
22,Brunei Darussalam,Bosnia and Herzegovina
23,Bulgaria,Botswana
24,Burkina Faso,Brazil
25,Cabo Verde,Brunei Darussalam
26,Cambodia,Bulgaria
27,Cameroon,Burkina Faso
28,Canada,Burundi
29,Chile,Cabo Verde
30,China,Cambodia
31,Colombia,Cameroon
32,Congo,Canada
33,Costa Rica,Central African Republic
34,Croatia,Chad
35,Cyprus,Channel Islands
36,Czech Republic,Chile
37,Denmark,China
38,Dominican Republic,"China, Hong Kong SAR"
39,Ecuador,"China, Macao SAR"
40,Egypt,"China, Taiwan Province of China"
41,El Salvador,Colombia
42,Estonia,Comoros
43,Ethiopia,Congo
44,Fiji,Costa Rica
45,Finland,Côte d'Ivoire
46,France,Croatia
47,Georgia,Cuba
48,Germany,Curaçao
49,Ghana,Cyprus
50,Greece,Czechia
51,Guatemala,Democratic Republic of the Congo
52,Guinea,Dem. People's Republic of Korea
53,Guyana,Denmark
54,Haiti,Djibouti
55,Honduras,Dominican Republic
56,"Hong Kong SAR, China",Ecuador
57,Hungary,Egypt
58,Iceland,El Salvador
59,India,Equatorial Guinea
60,Indonesia,Eritrea
61,Iran (Islamic Republic of),Estonia
62,Iraq,Ethiopia
63,Ireland,Fiji
64,Israel,Finland
65,Italy,France
66,Jamaica,French Guiana
67,Japan,French Polynesia
68,Jordan,Gabon
69,Kazakhstan,Gambia
70,Kenya,Georgia
71,Kiribati,Germany
72,Kuwait,Ghana
73,Kyrgyzstan,Greece
74,Lao People's Democratic Republi,Grenada
75,Latvia,Guadeloupe
76,Lebanon,Guam
77,Lesotho,Guatemala
78,Liberia,Guinea
79,Lithuania,Guinea-Bissau
80,Luxembourg,Guyana
81,Malaysia,Haiti
82,Maldives,Honduras
83,Malta,Hungary
84,Mauritania,Iceland
85,Mauritius,India
86,Mexico,Indonesia
87,Monaco,Iran (Islamic Republic of)
88,Mongolia,Iraq
89,Montenegro,Ireland
90,Morocco,Israel
91,Mozambique,Italy
92,Namibia,Jamaica
93,Nepal,Japan
94,Netherlands,Jordan
95,New Zealand,Kazakhstan
96,Nicaragua,Kenya
97,Niger,Kiribati
98,Nigeria,Kuwait
99,Oman,Kyrgyzstan
100,Pakistan,Lao People's Democratic Republic
101,Panama,Latvia
102,Paraguay,Lebanon
103,Peru,Lesotho
104,Philippines,Liberia
105,Poland,Libya
106,Portugal,Lithuania
107,Qatar,Luxembourg
108,Republic of Korea,Madagascar
109,Romania,Malawi
110,Russian Federation,Malaysia
111,Rwanda,Maldives
112,Saint Lucia,Mali
113,Samoa,Malta
114,Sao Tome and Principe ,Martinique
115,Saudi Arabia,Mauritania
116,Senegal,Mauritius
117,Serbia,Mayotte
118,Seychelles,Mexico
119,Sierra Leone,Micronesia (Fed. States of)
120,Singapore,Mongolia
121,Slovakia,Montenegro
122,Slovenia,Morocco
123,Solomon Islands,Mozambique
124,South Africa,Myanmar
125,Spain,Namibia
126,Sri Lanka,Nepal
127,Suriname,Netherlands
128,Sweden,New Caledonia
129,Switzerland,New Zealand
130,Syrian Arab Republic,Nicaragua
131,Taiwan,Niger
132,Tajikistan,Nigeria
133,TFYR of Macedonia,Norway
134,Thailand,Oman
135,Timor-Leste,Pakistan
136,Tonga,Panama
137,Tunisia,Papua New Guinea
138,Turkey,Paraguay
139,Uganda,Peru
140,Ukraine,Philippines
141,United Arab Emirates,Poland
142,United Kingdom of Great Britain,Portugal
143,United Republic of Tanzania,Puerto Rico
144,United States of America,Qatar
145,Uruguay,Republic of Korea
146,Uzbekistan,Republic of Moldova
147,Vanuatu,Réunion
148,Venezuela (Bolivarian Republic ,Romania
149,Viet Nam,Russian Federation
150,Yemen,Rwanda
151,Zambia,Saint Lucia
152,Zimbabwe,Saint Vincent and the Grenadines
,,Samoa
,,Sao Tome and Principe
,,Saudi Arabia
,,Senegal
,,Serbia
,,Seychelles
,,Sierra Leone
,,Singapore
,,Slovakia
,,Slovenia
,,Solomon Islands
,,Somalia
,,South Africa
,,South Sudan
,,Spain
,,Sri Lanka
,,State of Palestine
,,Sudan
,,Suriname
,,Swaziland
,,Sweden
,,Switzerland
,,Syrian Arab Republic
,,Tajikistan
,,TFYR Macedonia
,,Thailand
,,Timor-Leste
,,Togo
,,Tonga
,,Trinidad and Tobago
,,Tunisia
,,Turkey
,,Turkmenistan
,,Uganda
,,Ukraine
,,United Arab Emirates
,,United Kingdom
,,United Republic of Tanzania
,,United States of America
,,United States Virgin Islands
,,Uruguay
,,Uzbekistan
,,Vanuatu
,,Venezuela (Bolivarian Republic of)
,,Viet Nam
,,Western Sahara
,,Yemen
,,Zambia
,,Zimbabwe
