"originalID","Location","Data"
1,"Afghanistan","coverage"
2,"Albania","coverage"
3,"Algeria","coverage"
4,"Andorra","coverage"
5,"Angola","coverage"
6,"Antigua_Barbuda","coverage"
7,"Argentina","coverage"
8,"Armenia","coverage"
9,"Australia","coverage"
10,"Austria","coverage"
11,"Azerbaijan","coverage"
12,"Bahamas","coverage"
13,"Bahrain","coverage"
14,"Bangladesh","coverage"
15,"Barbados","coverage"
16,"Belarus","coverage"
17,"Belgium","coverage"
18,"Belize","coverage"
19,"Benin","coverage"
20,"Bhutan","coverage"
21,"Bolivia","coverage"
22,"Bosnia_Herzegovina","coverage"
23,"Botswana","coverage"
24,"Brazil","coverage"
25,"Brunei_Darussalam","coverage"
26,"Bulgaria","coverage"
27,"Burkina_Faso","coverage"
28,"Burundi","coverage"
29,"Cambodia","coverage"
30,"Cameroon","coverage"
31,"Canada","coverage"
32,"Cape_Verde","coverage"
33,"Central_African_Republic","coverage"
34,"Chad","coverage"
35,"Chile","coverage"
36,"China","coverage"
37,"Colombia","coverage"
38,"Comoros","coverage"
39,"Congo","coverage"
40,"Costa_Rica","coverage"
41,"Côte_d’Ivoire","coverage"
42,"Croatia","coverage"
43,"Cuba","coverage"
44,"Cyprus","coverage"
45,"Czech_Republic","coverage"
46,"Denmark","coverage"
47,"Djibouti","coverage"
48,"Dominica","coverage"
49,"Dominican_Republic","coverage"
50,"DPR_of_Korea","coverage"
51,"DR_of_the_Congo","coverage"
52,"Ecuador","coverage"
53,"Egypt","coverage"
54,"El_Salvador","coverage"
55,"Equatorial_Guinea","coverage"
56,"Eritrea","coverage"
57,"Estonia","coverage"
58,"Ethiopia","coverage"
59,"Fiji","coverage"
60,"Finland","coverage"
61,"France","coverage"
62,"French_Polynesia","coverage"
63,"Gabon","coverage"
64,"Gambia","coverage"
65,"Georgia","coverage"
66,"Germany","coverage"
67,"Ghana","coverage"
68,"Greece","coverage"
69,"Grenada","coverage"
70,"Guatemala","coverage"
71,"Guinea","coverage"
72,"Guinea-Bissau","coverage"
73,"Guyana","coverage"
