"originalID","Location","Data"
1,"Afghanistan","Huang2013"
2,"Albania","Huang2013"
3,"Algeria","Huang2013"
4,"Angola","Huang2013"
5,"Argentina","Huang2013"
6,"Armenia","Huang2013"
7,"Aruba","Huang2013"
8,"Australia","Huang2013"
9,"Austria","Huang2013"
10,"Azerbaijan","Huang2013"
11,"Bahamas","Huang2013"
12,"Bangladesh","Huang2013"
13,"Belarus","Huang2013"
14,"Belgium","Huang2013"
15,"Benin","Huang2013"
16,"Bolivia","Huang2013"
17,"Bosnia and Herzegovina","Huang2013"
18,"Botswana","Huang2013"
19,"Brazil","Huang2013"
20,"Bulgaria","Huang2013"
21,"Burkina Faso","Huang2013"
22,"Burma","Huang2013"
23,"Burundi","Huang2013"
24,"Cambodia","Huang2013"
25,"Cameroon","Huang2013"
26,"Canada","Huang2013"
27,"Cape Verde","Huang2013"
28,"Central African Republic","Huang2013"
29,"Chad","Huang2013"
30,"Chile","Huang2013"
31,"China","Huang2013"
32,"Colombia","Huang2013"
33,"Comoros","Huang2013"
34,"Congo (Brazzaville)","Huang2013"
35,"Congo (Kinshasa)","Huang2013"
36,"Cook Islands","Huang2013"
37,"Costa Rica","Huang2013"
38,"Cote d'Ivoire","Huang2013"
39,"Croatia","Huang2013"
40,"Cuba","Huang2013"
41,"Czech Republic","Huang2013"
42,"Denmark","Huang2013"
43,"Djibouti","Huang2013"
44,"Dominican Republic","Huang2013"
45,"East Timor","Huang2013"
46,"Ecuador","Huang2013"
47,"Egypt","Huang2013"
48,"Equatorial Guinea","Huang2013"
49,"Eritrea","Huang2013"
50,"Estonia","Huang2013"
51,"Ethiopia","Huang2013"
52,"Fiji","Huang2013"
53,"Finland","Huang2013"
54,"France","Huang2013"
55,"French Polynesia","Huang2013"
56,"Gabon","Huang2013"
57,"Georgia","Huang2013"
58,"Germany","Huang2013"
59,"Ghana","Huang2013"
60,"Greece","Huang2013"
61,"Guadeloupe","Huang2013"
62,"Guam","Huang2013"
63,"Guatemala","Huang2013"
64,"Guinea","Huang2013"
65,"Guyana","Huang2013"
66,"Haiti","Huang2013"
67,"Honduras","Huang2013"
68,"Hong Kong","Huang2013"
69,"Hungary","Huang2013"
70,"Iceland","Huang2013"
71,"India","Huang2013"
72,"Indonesia","Huang2013"
73,"Iran","Huang2013"
74,"Iraq","Huang2013"
75,"Ireland","Huang2013"
76,"Israel","Huang2013"
77,"Italy","Huang2013"
78,"Jamaica","Huang2013"
79,"Japan","Huang2013"
80,"Jordan","Huang2013"
81,"Kazakhstan","Huang2013"
82,"Kenya","Huang2013"
83,"Kyrgyzstan","Huang2013"
84,"Laos","Huang2013"
85,"Latvia","Huang2013"
86,"Lebanon","Huang2013"
87,"Lesotho","Huang2013"
88,"Liberia","Huang2013"
89,"Libya","Huang2013"
90,"Lithuania","Huang2013"
91,"Macau","Huang2013"
92,"Macedonia","Huang2013"
93,"Madagascar","Huang2013"
94,"Malawi","Huang2013"
95,"Malaysia","Huang2013"
96,"Maldives","Huang2013"
97,"Mali","Huang2013"
98,"Malta","Huang2013"
99,"Mauritania","Huang2013"
100,"Mexico","Huang2013"
101,"Moldova","Huang2013"
102,"Mongolia","Huang2013"
103,"Montenegro","Huang2013"
104,"Morocco","Huang2013"
105,"Mozambique","Huang2013"
106,"Namibia","Huang2013"
107,"Nepal","Huang2013"
108,"Netherlands","Huang2013"
109,"New Zealand","Huang2013"
110,"Nicaragua","Huang2013"
111,"Niger","Huang2013"
112,"Nigeria","Huang2013"
113,"North Korea","Huang2013"
114,"Norway","Huang2013"
115,"Oman","Huang2013"
116,"Pakistan","Huang2013"
117,"Panama","Huang2013"
118,"Papua New Guinea","Huang2013"
119,"Paraguay","Huang2013"
120,"Peru","Huang2013"
121,"Philippines","Huang2013"
122,"Poland","Huang2013"
123,"Portugal","Huang2013"
124,"Puerto Rico","Huang2013"
125,"Qatar","Huang2013"
126,"Reunion","Huang2013"
127,"Romania","Huang2013"
128,"Russia","Huang2013"
129,"Rwanda","Huang2013"
130,"Sao Tome and Principe","Huang2013"
131,"Saudi Arabia","Huang2013"
132,"Senegal","Huang2013"
133,"Serbia","Huang2013"
134,"Sierra Leone","Huang2013"
135,"Singapore","Huang2013"
136,"Slovakia","Huang2013"
137,"Slovenia","Huang2013"
138,"Solomon Islands","Huang2013"
139,"Somalia","Huang2013"
140,"South Africa","Huang2013"
141,"South Korea","Huang2013"
142,"Spain","Huang2013"
143,"Sri Lanka","Huang2013"
144,"Sudan","Huang2013"
145,"Suriname","Huang2013"
146,"Swaziland","Huang2013"
147,"Sweden","Huang2013"
148,"Switzerland","Huang2013"
149,"Syria","Huang2013"
150,"Taiwan","Huang2013"
151,"Tajikistan","Huang2013"
152,"Tanzania","Huang2013"
153,"Thailand","Huang2013"
154,"Togo","Huang2013"
155,"Tunisia","Huang2013"
156,"Turkey","Huang2013"
157,"Turkmenistan","Huang2013"
158,"Uganda","Huang2013"
159,"Ukraine","Huang2013"
160,"United Arab Emirates","Huang2013"
161,"United Kingdom","Huang2013"
162,"United States","Huang2013"
163,"Uruguay","Huang2013"
164,"Uzbekistan","Huang2013"
165,"Venezuela","Huang2013"
166,"Vietnam","Huang2013"
167,"Western Sahara","Huang2013"
168,"Yemen","Huang2013"
169,"Zambia","Huang2013"
170,"Zimbabwe","Huang2013"
