"originalID","Location","Data"
1,"Afghanistan","WTO"
1,"Afghanistan","OAG"
1,"Afghanistan","Huang2013"
1,"Afghanistan","demography"
1,"Albania","contact"
1,"Afghanistan","coverage"
2,"Albania","WTO"
2,"Albania","OAG"
2,"Albania","Huang2013"
2,"Albania","demography"
2,"Algeria","contact"
2,"Albania","coverage"
3,"Algeria","WTO"
3,"Algeria","OAG"
3,"Algeria","Huang2013"
3,"Algeria","demography"
3,"Andorra","contact"
3,"Algeria","coverage"
4,"American_Samoa","WTO"
4,"American_Samoa","OAG"
4,"Angola","Huang2013"
4,"Angola","demography"
4,"Antigua and Barbuda","contact"
4,"Andorra","coverage"
5,"Andorra","WTO"
5,"Andorra","OAG"
5,"Argentina","Huang2013"
5,"Antigua and Barbuda","demography"
5,"Argentina","contact"
5,"Angola","coverage"
6,"Angola","WTO"
6,"Angola","OAG"
6,"Armenia","Huang2013"
6,"Argentina","demography"
6,"Armenia","contact"
6,"Antigua & Barbuda","coverage"
7,"Antigua_Barbuda","WTO"
7,"Antigua_Barbuda","OAG"
7,"Aruba","Huang2013"
7,"Armenia","demography"
7,"Australia","contact"
7,"Argentina","coverage"
8,"Argentina","WTO"
8,"Argentina","OAG"
8,"Australia","Huang2013"
8,"Aruba","demography"
8,"Austria","contact"
8,"Armenia","coverage"
9,"Armenia","WTO"
9,"Armenia","OAG"
9,"Austria","Huang2013"
9,"Australia","demography"
9,"Azerbaijan","contact"
9,"Azerbaijan","coverage"
10,"Aruba","WTO"
10,"Aruba","OAG"
10,"Azerbaijan","Huang2013"
10,"Austria","demography"
10,"Bahamas","contact"
10,"Bahamas","coverage"
11,"Australia","WTO"
11,"Australia","OAG"
11,"Bahamas","Huang2013"
11,"Azerbaijan","demography"
11,"Bahrain","contact"
11,"Bahrain","coverage"
12,"Austria","WTO"
12,"Austria","OAG"
12,"Bangladesh","Huang2013"
12,"Bahamas","demography"
12,"Bangladesh","contact"
12,"Bangladesh","coverage"
13,"Azerbaijan","WTO"
13,"Azerbaijan","OAG"
13,"Belarus","Huang2013"
13,"Bahrain","demography"
13,"Belarus","contact"
13,"Barbados","coverage"
14,"Bahrain","WTO"
14,"Bahrain","OAG"
14,"Belgium","Huang2013"
14,"Bangladesh","demography"
14,"Belgium","contact"
14,"Belarus","coverage"
15,"Bangladesh","WTO"
15,"Bangladesh","OAG"
15,"Benin","Huang2013"
15,"Barbados","demography"
15,"Belize","contact"
15,"Benin","coverage"
16,"Barbados","WTO"
16,"Barbados","OAG"
16,"Bolivia","Huang2013"
16,"Belarus","demography"
16,"Benin","contact"
16,"Bhutan","coverage"
17,"Belarus","WTO"
17,"Belarus","OAG"
17,"Bosnia and Herzegovina","Huang2013"
17,"Belgium","demography"
17,"Bhutan","contact"
17,"Bolivia","coverage"
18,"Belgium","WTO"
18,"Belgium","OAG"
18,"Botswana","Huang2013"
18,"Belize","demography"
18,"Bolivia (Plurinational State of","contact"
18,"Bosnia & Herzegovina","coverage"
19,"Belize","WTO"
19,"Belize","OAG"
19,"Brazil","Huang2013"
19,"Benin","demography"
19,"Bosnia and Herzegovina","contact"
19,"Botswana","coverage"
20,"Benin","WTO"
20,"Benin","OAG"
20,"Bulgaria","Huang2013"
20,"Bhutan","demography"
20,"Botswana","contact"
20,"Brazil","coverage"
21,"Bermuda","WTO"
21,"Bermuda","OAG"
21,"Burkina Faso","Huang2013"
21,"Bolivia (Plurinational State of)","demography"
21,"Brazil","contact"
21,"Brunei Darussalam","coverage"
22,"Bhutan","WTO"
22,"Bhutan","OAG"
22,"Burma","Huang2013"
22,"Bosnia and Herzegovina","demography"
22,"Brunei Darussalam","contact"
22,"Bulgaria","coverage"
23,"Bolivia","WTO"
23,"Bolivia","OAG"
23,"Burundi","Huang2013"
23,"Botswana","demography"
23,"Bulgaria","contact"
23,"Burkina Faso","coverage"
24,"Bosnia_Herzegovina","WTO"
24,"Bosnia_Gerzegovina","OAG"
24,"Cambodia","Huang2013"
24,"Brazil","demography"
24,"Burkina Faso","contact"
24,"Burundi","coverage"
25,"Botswana","WTO"
25,"Botswana","OAG"
25,"Cameroon","Huang2013"
25,"Brunei Darussalam","demography"
25,"Cabo Verde","contact"
25,"Cambodia","coverage"
26,"Brazil","WTO"
26,"Brazil","OAG"
26,"Canada","Huang2013"
26,"Bulgaria","demography"
26,"Cambodia","contact"
26,"Cameroon","coverage"
27,"Bulgaria","WTO"
27,"Bulgaria","OAG"
27,"Cape Verde","Huang2013"
27,"Burkina Faso","demography"
27,"Cameroon","contact"
27,"Cape Verde","coverage"
28,"Burkina_Faso","WTO"
28,"Burkina_Faso","OAG"
28,"Central African Republic","Huang2013"
28,"Burundi","demography"
28,"Canada","contact"
28,"Central African Republic","coverage"
29,"Burma","WTO"
29,"Burma","OAG"
29,"Chad","Huang2013"
29,"Cabo Verde","demography"
29,"Chile","contact"
29,"Chad","coverage"
30,"Burundi","WTO"
30,"Burundi","OAG"
30,"Chile","Huang2013"
30,"Cambodia","demography"
30,"China","contact"
30,"China","coverage"
31,"Cambodia","WTO"
31,"Cambodia","OAG"
31,"China","Huang2013"
31,"Cameroon","demography"
31,"Colombia","contact"
31,"Colombia","coverage"
32,"Cameroon","WTO"
32,"Cameroon","OAG"
32,"Colombia","Huang2013"
32,"Canada","demography"
32,"Congo","contact"
32,"Comoros","coverage"
33,"Canada","WTO"
33,"Canada","OAG"
33,"Comoros","Huang2013"
33,"Central African Republic","demography"
33,"Costa Rica","contact"
33,"Congo","coverage"
34,"Cape_Verde","WTO"
34,"Cape_Verde","OAG"
34,"Congo (Brazzaville)","Huang2013"
34,"Chad","demography"
34,"Croatia","contact"
34,"Costa Rica","coverage"
35,"Cayman_Islands","WTO"
35,"Cayman_Islands","OAG"
35,"Congo (Kinshasa)","Huang2013"
35,"Channel Islands","demography"
35,"Cyprus","contact"
35,"Côte d’Ivoire","coverage"
36,"Centr_African_Rep","WTO"
36,"Centr_African_Rep","OAG"
36,"Cook Islands","Huang2013"
36,"Chile","demography"
36,"Czech Republic","contact"
36,"Croatia","coverage"
37,"Chad","WTO"
37,"Chad","OAG"
37,"Costa Rica","Huang2013"
37,"China","demography"
37,"Denmark","contact"
37,"Cuba","coverage"
38,"Chile","WTO"
38,"Chile","OAG"
38,"Cote d'Ivoire","Huang2013"
38,"China, Hong Kong SAR","demography"
38,"Dominican Republic","contact"
38,"Cyprus","coverage"
39,"China","WTO"
39,"China","OAG"
39,"Croatia","Huang2013"
39,"China, Macao SAR","demography"
39,"Ecuador","contact"
39,"Czech Republic","coverage"
40,"Colombia","WTO"
40,"Colombia","OAG"
40,"Cuba","Huang2013"
40,"China, Taiwan Province of China","demography"
40,"Egypt","contact"
40,"Djibouti","coverage"
41,"Comoros","WTO"
41,"Comoros","OAG"
41,"Czech Republic","Huang2013"
41,"Colombia","demography"
41,"El Salvador","contact"
41,"Dominica","coverage"
42,"Congo_Brazzaville","WTO"
42,"Congo_Brazzaville","OAG"
42,"Denmark","Huang2013"
42,"Comoros","demography"
42,"Estonia","contact"
42,"Dominican Republic","coverage"
43,"Congo_Dem_Rep","WTO"
43,"Congo_Dem_Rep","OAG"
43,"Djibouti","Huang2013"
43,"Congo","demography"
43,"Ethiopia","contact"
43,"DPR of Korea","coverage"
44,"Costa_Rica","WTO"
44,"Costa_Rica","OAG"
44,"Dominican Republic","Huang2013"
44,"Costa Rica","demography"
44,"Fiji","contact"
44,"DR of the Congo","coverage"
45,"Cote_dIvore","WTO"
45,"Cote_dIvore","OAG"
45,"East Timor","Huang2013"
45,"Côte d'Ivoire","demography"
45,"Finland","contact"
45,"Ecuador","coverage"
46,"Croatia","WTO"
46,"Croatia","OAG"
46,"Ecuador","Huang2013"
46,"Croatia","demography"
46,"France","contact"
46,"Egypt","coverage"
47,"Cuba","WTO"
47,"Cuba","OAG"
47,"Egypt","Huang2013"
47,"Cuba","demography"
47,"Georgia","contact"
47,"El Salvador","coverage"
48,"Cyprus","WTO"
48,"Cyprus","OAG"
48,"Equatorial Guinea","Huang2013"
48,"Curaçao","demography"
48,"Germany","contact"
48,"Equatorial Guinea","coverage"
49,"Czech_Republic","WTO"
49,"Czech_Republic","OAG"
49,"Eritrea","Huang2013"
49,"Cyprus","demography"
49,"Ghana","contact"
49,"Eritrea","coverage"
50,"Denmark","WTO"
50,"Denmark","OAG"
50,"Estonia","Huang2013"
50,"Czechia","demography"
50,"Greece","contact"
50,"Estonia","coverage"
51,"Djibouti","WTO"
51,"Djibouti","OAG"
51,"Ethiopia","Huang2013"
51,"Democratic Republic of the Congo","demography"
51,"Guatemala","contact"
51,"Ethiopia","coverage"
52,"Dominica","WTO"
52,"Dominica","OAG"
52,"Fiji","Huang2013"
52,"Dem. People's Republic of Korea","demography"
52,"Guinea","contact"
52,"Fiji","coverage"
53,"Dominican_Republic","WTO"
53,"Dominican_Republic","OAG"
53,"Finland","Huang2013"
53,"Denmark","demography"
53,"Guyana","contact"
53,"French Polynesia","coverage"
54,"Ecuador","WTO"
54,"Ecuador","OAG"
54,"France","Huang2013"
54,"Djibouti","demography"
54,"Haiti","contact"
54,"Gabon","coverage"
55,"Egypt","WTO"
55,"Egypt","OAG"
55,"French Polynesia","Huang2013"
55,"Dominican Republic","demography"
55,"Honduras","contact"
55,"Gambia","coverage"
56,"El_Salvador","WTO"
56,"El_Salvador","OAG"
56,"Gabon","Huang2013"
56,"Ecuador","demography"
56,"Hong Kong SAR, China","contact"
56,"Georgia","coverage"
57,"Equatorial_Guinea","WTO"
57,"Equatorial_Guinea","OAG"
57,"Georgia","Huang2013"
57,"Egypt","demography"
57,"Hungary","contact"
57,"Ghana","coverage"
58,"Eritrea","WTO"
58,"Eritrea","OAG"
58,"Germany","Huang2013"
58,"El Salvador","demography"
58,"Iceland","contact"
58,"Grenada","coverage"
59,"Estonia","WTO"
59,"Estonia","OAG"
59,"Ghana","Huang2013"
59,"Equatorial Guinea","demography"
59,"India","contact"
59,"Guatemala","coverage"
60,"Ethiopia","WTO"
60,"Ethiopia","OAG"
60,"Greece","Huang2013"
60,"Eritrea","demography"
60,"Indonesia","contact"
60,"Guinea","coverage"
61,"Faroe_Islands","WTO"
61,"Faroe_Islands","OAG"
61,"Guadeloupe","Huang2013"
61,"Estonia","demography"
61,"Iran (Islamic Republic of)","contact"
61,"Guinea-Bissau","coverage"
62,"Fiji","WTO"
62,"Fiji","OAG"
62,"Guam","Huang2013"
62,"Ethiopia","demography"
62,"Iraq","contact"
62,"Guyana","coverage"
63,"Finland","WTO"
63,"Finland","OAG"
63,"Guatemala","Huang2013"
63,"Fiji","demography"
63,"Ireland","contact"
63,"Haiti","coverage"
64,"France","WTO"
64,"France","OAG"
64,"Guinea","Huang2013"
64,"Finland","demography"
64,"Israel","contact"
64,"Honduras","coverage"
65,"French_Guiana","WTO"
65,"French_Guiana","OAG"
65,"Guyana","Huang2013"
65,"France","demography"
65,"Italy","contact"
65,"Hungary","coverage"
66,"French_Polynesia","WTO"
66,"French_Polynesia","OAG"
66,"Haiti","Huang2013"
66,"French Guiana","demography"
66,"Jamaica","contact"
66,"India","coverage"
67,"Gabon","WTO"
67,"Gabon","OAG"
67,"Honduras","Huang2013"
67,"French Polynesia","demography"
67,"Japan","contact"
67,"Indonesia","coverage"
68,"Gambia","WTO"
68,"Gambia","OAG"
68,"Hong Kong","Huang2013"
68,"Gabon","demography"
68,"Jordan","contact"
68,"Iran (Islamic Republic of)","coverage"
69,"Georgia","WTO"
69,"Georgia","OAG"
69,"Hungary","Huang2013"
69,"Gambia","demography"
69,"Kazakhstan","contact"
69,"Iraq","coverage"
70,"Germany","WTO"
70,"Germany","OAG"
70,"Iceland","Huang2013"
70,"Georgia","demography"
70,"Kenya","contact"
70,"Israel","coverage"
71,"Ghana","WTO"
71,"Ghana","OAG"
71,"India","Huang2013"
71,"Germany","demography"
71,"Kiribati","contact"
71,"Jamaica","coverage"
72,"Gibraltar","WTO"
72,"Gibraltar","OAG"
72,"Indonesia","Huang2013"
72,"Ghana","demography"
72,"Kuwait","contact"
72,"Jordan","coverage"
73,"Greece","WTO"
73,"Greece","OAG"
73,"Iran","Huang2013"
73,"Greece","demography"
73,"Kyrgyzstan","contact"
73,"Kazakhstan","coverage"
74,"Greenland","WTO"
74,"Greenland","OAG"
74,"Iraq","Huang2013"
74,"Grenada","demography"
74,"Lao People's Democratic Republi","contact"
74,"Kenya","coverage"
75,"Grenada","WTO"
75,"Grenada","OAG"
75,"Ireland","Huang2013"
75,"Guadeloupe","demography"
75,"Latvia","contact"
75,"Kiribati","coverage"
76,"Guadeloupe","WTO"
76,"Guadeloupe","OAG"
76,"Israel","Huang2013"
76,"Guam","demography"
76,"Lebanon","contact"
76,"Kuwait","coverage"
77,"Guam","WTO"
77,"Guam","OAG"
77,"Italy","Huang2013"
77,"Guatemala","demography"
77,"Lesotho","contact"
77,"Kyrgyzstan","coverage"
78,"Guatemala","WTO"
78,"Guatemala","OAG"
78,"Jamaica","Huang2013"
78,"Guinea","demography"
78,"Liberia","contact"
78,"Lao People’s Democratic Republic","coverage"
79,"Guernsey","WTO"
79,"Guernsey","OAG"
79,"Japan","Huang2013"
79,"Guinea-Bissau","demography"
79,"Lithuania","contact"
79,"Latvia","coverage"
80,"Guinea","WTO"
80,"Guinea","OAG"
80,"Jordan","Huang2013"
80,"Guyana","demography"
80,"Luxembourg","contact"
80,"Lebanon","coverage"
81,"Guinea-Bissau","WTO"
81,"Guinea-Bissau","OAG"
81,"Kazakhstan","Huang2013"
81,"Haiti","demography"
81,"Malaysia","contact"
81,"Lesotho","coverage"
82,"Guyana","WTO"
82,"Guyana","OAG"
82,"Kenya","Huang2013"
82,"Honduras","demography"
82,"Maldives","contact"
82,"Liberia","coverage"
83,"Haiti","WTO"
83,"Haiti","OAG"
83,"Kyrgyzstan","Huang2013"
83,"Hungary","demography"
83,"Malta","contact"
83,"Libya","coverage"
84,"Honduras","WTO"
84,"Honduras","OAG"
84,"Laos","Huang2013"
84,"Iceland","demography"
84,"Mauritania","contact"
84,"Lithuania","coverage"
85,"Hong_Kong","WTO"
85,"Hong_Kong","OAG"
85,"Latvia","Huang2013"
85,"India","demography"
85,"Mauritius","contact"
85,"Macao (China)","coverage"
86,"Hungary","WTO"
86,"Hungary","OAG"
86,"Lebanon","Huang2013"
86,"Indonesia","demography"
86,"Mexico","contact"
86,"Madagascar","coverage"
87,"Iceland","WTO"
87,"Iceland","OAG"
87,"Lesotho","Huang2013"
87,"Iran (Islamic Republic of)","demography"
87,"Monaco","contact"
87,"Malawi","coverage"
88,"India","WTO"
88,"India","OAG"
88,"Liberia","Huang2013"
88,"Iraq","demography"
88,"Mongolia","contact"
88,"Malaysia","coverage"
89,"Indonesia","WTO"
89,"Indonesia","OAG"
89,"Libya","Huang2013"
89,"Ireland","demography"
89,"Montenegro","contact"
89,"Maldives","coverage"
90,"Iran","WTO"
90,"Iran","OAG"
90,"Lithuania","Huang2013"
90,"Israel","demography"
90,"Morocco","contact"
90,"Mali","coverage"
91,"Iraq","WTO"
91,"Iraq","OAG"
91,"Macau","Huang2013"
91,"Italy","demography"
91,"Mozambique","contact"
91,"Marshall Islands","coverage"
92,"Ireland","WTO"
92,"Ireland","OAG"
92,"Macedonia","Huang2013"
92,"Jamaica","demography"
92,"Namibia","contact"
92,"Mauritania","coverage"
93,"Isle_of_Man","WTO"
93,"Isle_of_Man","OAG"
93,"Madagascar","Huang2013"
93,"Japan","demography"
93,"Nepal","contact"
93,"Mauritius","coverage"
94,"Israel","WTO"
94,"Israel","OAG"
94,"Malawi","Huang2013"
94,"Jordan","demography"
94,"Netherlands","contact"
94,"Micronesia (Federated States of)","coverage"
95,"Italy","WTO"
95,"Italy","OAG"
95,"Malaysia","Huang2013"
95,"Kazakhstan","demography"
95,"New Zealand","contact"
95,"Monaco","coverage"
96,"Jamaica","WTO"
96,"Jamaica","OAG"
96,"Maldives","Huang2013"
96,"Kenya","demography"
96,"Nicaragua","contact"
96,"Mongolia","coverage"
97,"Japan","WTO"
97,"Japan","OAG"
97,"Mali","Huang2013"
97,"Kiribati","demography"
97,"Niger","contact"
97,"Montenegro","coverage"
98,"Jersey","WTO"
98,"Jersey","OAG"
98,"Malta","Huang2013"
98,"Kuwait","demography"
98,"Nigeria","contact"
98,"Morocco","coverage"
99,"Jordan","WTO"
99,"Jordan","OAG"
99,"Mauritania","Huang2013"
99,"Kyrgyzstan","demography"
99,"Oman","contact"
99,"Mozambique","coverage"
100,"Kazakhstan","WTO"
100,"Kazakhstan","OAG"
100,"Mexico","Huang2013"
100,"Lao People's Democratic Republic","demography"
100,"Pakistan","contact"
100,"Myanmar","coverage"
101,"Kenya","WTO"
101,"Kenya","OAG"
101,"Moldova","Huang2013"
101,"Latvia","demography"
101,"Panama","contact"
101,"Namibia","coverage"
102,"Kiribati","WTO"
102,"Kiribati","OAG"
102,"Mongolia","Huang2013"
102,"Lebanon","demography"
102,"Paraguay","contact"
102,"Nepal","coverage"
103,"Kuwait","WTO"
103,"Kuwait","OAG"
103,"Montenegro","Huang2013"
103,"Lesotho","demography"
103,"Peru","contact"
103,"New Caledonia","coverage"
104,"Kyrgyzstan","WTO"
104,"Kyrgyzstan","OAG"
104,"Morocco","Huang2013"
104,"Liberia","demography"
104,"Philippines","contact"
104,"Nicaragua","coverage"
105,"Laos","WTO"
105,"Laos","OAG"
105,"Mozambique","Huang2013"
105,"Libya","demography"
105,"Poland","contact"
105,"Niger","coverage"
106,"Latvia","WTO"
106,"Latvia","OAG"
106,"Namibia","Huang2013"
106,"Lithuania","demography"
106,"Portugal","contact"
106,"Nigeria","coverage"
107,"Lebanon","WTO"
107,"Lebanon","OAG"
107,"Nepal","Huang2013"
107,"Luxembourg","demography"
107,"Qatar","contact"
107,"Norway","coverage"
108,"Lesotho","WTO"
108,"Lesotho","OAG"
108,"Netherlands","Huang2013"
108,"Madagascar","demography"
108,"Republic of Korea","contact"
108,"Oman","coverage"
109,"Liberia","WTO"
109,"Liberia","OAG"
109,"New Zealand","Huang2013"
109,"Malawi","demography"
109,"Romania","contact"
109,"Pakistan","coverage"
110,"Libya","WTO"
110,"Libya","OAG"
110,"Nicaragua","Huang2013"
110,"Malaysia","demography"
110,"Russian Federation","contact"
110,"Palau","coverage"
111,"Liechtenstein","WTO"
111,"Liechtenstein","OAG"
111,"Niger","Huang2013"
111,"Maldives","demography"
111,"Rwanda","contact"
111,"Panama","coverage"
112,"Lithuania","WTO"
112,"Lithuania","OAG"
112,"Nigeria","Huang2013"
112,"Mali","demography"
112,"Saint Lucia","contact"
112,"Papua New Guinea","coverage"
113,"Luxembourg","WTO"
113,"Luxembourg","OAG"
113,"North Korea","Huang2013"
113,"Malta","demography"
113,"Samoa","contact"
